Timestamp [UTC],Base,PVminus10,Demandplus10,PVminus10AndDemandplus10
01/01/2050 00:00,0.0,0.0,0.0,0.0
01/01/2050 01:00,0.0,0.0,0.0,0.0
01/01/2050 02:00,0.0,0.0,0.0,0.0
01/01/2050 03:00,0.0,0.0,0.0,0.0
01/01/2050 04:00,0.0,0.0,0.0,0.0
01/01/2050 05:00,0.0,0.0,0.0,0.0
01/01/2050 06:00,0.0,0.0,0.0,0.0
01/01/2050 07:00,0.0,0.0,0.0,0.0
01/01/2050 08:00,0.002157,0.0019413000000000002,0.002157,0.0019413000000000002
01/01/2050 09:00,0.024615,0.022153500000000003,0.024615,0.022153500000000003
01/01/2050 10:00,0.066832,0.0601488,0.066832,0.0601488
01/01/2050 11:00,0.113019,0.10171709999999999,0.113019,0.10171709999999999
01/01/2050 12:00,0.147022,0.13231980000000002,0.147022,0.13231980000000002
01/01/2050 13:00,0.143996,0.12959640000000003,0.143996,0.12959640000000003
01/01/2050 14:00,0.112956,0.1016604,0.112956,0.1016604
01/01/2050 15:00,0.065977,0.059379299999999996,0.065977,0.059379299999999996
01/01/2050 16:00,0.018046,0.0162414,0.018046,0.0162414
01/01/2050 17:00,3e-06,2.7e-06,3e-06,2.7e-06
01/01/2050 18:00,0.0,0.0,0.0,0.0
01/01/2050 19:00,0.0,0.0,0.0,0.0
01/01/2050 20:00,0.0,0.0,0.0,0.0
01/01/2050 21:00,0.0,0.0,0.0,0.0
01/01/2050 22:00,0.0,0.0,0.0,0.0
01/01/2050 23:00,0.0,0.0,0.0,0.0
02/01/2050 00:00,0.0,0.0,0.0,0.0
02/01/2050 01:00,0.0,0.0,0.0,0.0
02/01/2050 02:00,0.0,0.0,0.0,0.0
02/01/2050 03:00,0.0,0.0,0.0,0.0
02/01/2050 04:00,0.0,0.0,0.0,0.0
02/01/2050 05:00,0.0,0.0,0.0,0.0
02/01/2050 06:00,0.0,0.0,0.0,0.0
02/01/2050 07:00,0.0,0.0,0.0,0.0
02/01/2050 08:00,0.004272,0.0038447999999999998,0.004272,0.0038447999999999998
02/01/2050 09:00,0.043726,0.039353400000000004,0.043726,0.039353400000000004
02/01/2050 10:00,0.117179,0.1054611,0.117179,0.1054611
02/01/2050 11:00,0.19733,0.177597,0.19733,0.177597
02/01/2050 12:00,0.252691,0.2274219,0.252691,0.2274219
02/01/2050 13:00,0.266084,0.23947559999999998,0.266084,0.23947559999999998
02/01/2050 14:00,0.223675,0.20130750000000003,0.223675,0.20130750000000003
02/01/2050 15:00,0.138386,0.12454740000000002,0.138386,0.12454740000000002
02/01/2050 16:00,0.038741,0.0348669,0.038741,0.0348669
02/01/2050 17:00,8.9e-05,8.01e-05,8.9e-05,8.01e-05
02/01/2050 18:00,0.0,0.0,0.0,0.0
02/01/2050 19:00,0.0,0.0,0.0,0.0
02/01/2050 20:00,0.0,0.0,0.0,0.0
02/01/2050 21:00,0.0,0.0,0.0,0.0
02/01/2050 22:00,0.0,0.0,0.0,0.0
02/01/2050 23:00,0.0,0.0,0.0,0.0
03/01/2050 00:00,0.0,0.0,0.0,0.0
03/01/2050 01:00,0.0,0.0,0.0,0.0
03/01/2050 02:00,0.0,0.0,0.0,0.0
03/01/2050 03:00,0.0,0.0,0.0,0.0
03/01/2050 04:00,0.0,0.0,0.0,0.0
03/01/2050 05:00,0.0,0.0,0.0,0.0
03/01/2050 06:00,0.0,0.0,0.0,0.0
03/01/2050 07:00,0.0,0.0,0.0,0.0
03/01/2050 08:00,0.008056,0.007250400000000001,0.008056,0.007250400000000001
03/01/2050 09:00,0.067492,0.0607428,0.067492,0.0607428
