Timestamp [UTC],Base,PVminus10,Demandplus10,PVminus10AndDemandplus10
01/01/2050 00:00,0.868,0.868,0.868,0.868
01/01/2050 01:00,0.85,0.85,0.85,0.85
01/01/2050 02:00,0.818,0.818,0.818,0.818
01/01/2050 03:00,0.772,0.772,0.772,0.772
01/01/2050 04:00,0.719,0.719,0.719,0.719
01/01/2050 05:00,0.667,0.667,0.667,0.667
01/01/2050 06:00,0.609,0.609,0.609,0.609
01/01/2050 07:00,0.513,0.513,0.513,0.513
01/01/2050 08:00,0.439,0.439,0.439,0.439
01/01/2050 09:00,0.376,0.376,0.376,0.376
01/01/2050 10:00,0.361,0.361,0.361,0.361
01/01/2050 11:00,0.373,0.373,0.373,0.373
01/01/2050 12:00,0.393,0.393,0.393,0.393
01/01/2050 13:00,0.449,0.449,0.449,0.449
01/01/2050 14:00,0.531,0.531,0.531,0.531
01/01/2050 15:00,0.573,0.573,0.573,0.573
01/01/2050 16:00,0.577,0.577,0.577,0.577
01/01/2050 17:00,0.555,0.555,0.555,0.555
01/01/2050 18:00,0.53,0.53,0.53,0.53
01/01/2050 19:00,0.516,0.516,0.516,0.516
01/01/2050 20:00,0.499,0.499,0.499,0.499
01/01/2050 21:00,0.501,0.501,0.501,0.501
01/01/2050 22:00,0.537,0.537,0.537,0.537
01/01/2050 23:00,0.591,0.591,0.591,0.591
02/01/2050 00:00,0.655,0.655,0.655,0.655
02/01/2050 01:00,0.719,0.719,0.719,0.719
02/01/2050 02:00,0.76,0.76,0.76,0.76
02/01/2050 03:00,0.774,0.774,0.774,0.774
02/01/2050 04:00,0.758,0.758,0.758,0.758
02/01/2050 05:00,0.728,0.728,0.728,0.728
02/01/2050 06:00,0.686,0.686,0.686,0.686
02/01/2050 07:00,0.647,0.647,0.647,0.647
02/01/2050 08:00,0.637,0.637,0.637,0.637
02/01/2050 09:00,0.649,0.649,0.649,0.649
02/01/2050 10:00,0.662,0.662,0.662,0.662
02/01/2050 11:00,0.681,0.681,0.681,0.681
02/01/2050 12:00,0.689,0.689,0.689,0.689
02/01/2050 13:00,0.699,0.699,0.699,0.699
02/01/2050 14:00,0.727,0.727,0.727,0.727
02/01/2050 15:00,0.769,0.769,0.769,0.769
02/01/2050 16:00,0.792,0.792,0.792,0.792
02/01/2050 17:00,0.802,0.802,0.802,0.802
02/01/2050 18:00,0.802,0.802,0.802,0.802
02/01/2050 19:00,0.805,0.805,0.805,0.805
02/01/2050 20:00,0.81,0.81,0.81,0.81
02/01/2050 21:00,0.812,0.812,0.812,0.812
02/01/2050 22:00,0.82,0.82,0.82,0.82
02/01/2050 23:00,0.825,0.825,0.825,0.825
03/01/2050 00:00,0.819,0.819,0.819,0.819
03/01/2050 01:00,0.793,0.793,0.793,0.793
03/01/2050 02:00,0.747,0.747,0.747,0.747
03/01/2050 03:00,0.727,0.727,0.727,0.727
03/01/2050 04:00,0.69,0.69,0.69,0.69
03/01/2050 05:00,0.564,0.564,0.564,0.564
03/01/2050 06:00,0.533,0.533,0.533,0.533
03/01/2050 07:00,0.613,0.613,0.613,0.613
