Timestamp [UTC],Base,PVminus10,Demandplus10,PVminus10AndDemandplus10
01/01/2050 00:00,0.572,0.572,0.572,0.572
01/01/2050 01:00,0.53,0.53,0.53,0.53
01/01/2050 02:00,0.522,0.522,0.522,0.522
01/01/2050 03:00,0.539,0.539,0.539,0.539
01/01/2050 04:00,0.49,0.49,0.49,0.49
01/01/2050 05:00,0.441,0.441,0.441,0.441
01/01/2050 06:00,0.405,0.405,0.405,0.405
01/01/2050 07:00,0.38,0.38,0.38,0.38
01/01/2050 08:00,0.342,0.342,0.342,0.342
01/01/2050 09:00,0.31,0.31,0.31,0.31
01/01/2050 10:00,0.301,0.301,0.301,0.301
01/01/2050 11:00,0.308,0.308,0.308,0.308
01/01/2050 12:00,0.29,0.29,0.29,0.29
01/01/2050 13:00,0.298,0.298,0.298,0.298
01/01/2050 14:00,0.285,0.285,0.285,0.285
01/01/2050 15:00,0.278,0.278,0.278,0.278
01/01/2050 16:00,0.284,0.284,0.284,0.284
01/01/2050 17:00,0.329,0.329,0.329,0.329
01/01/2050 18:00,0.39,0.39,0.39,0.39
01/01/2050 19:00,0.438,0.438,0.438,0.438
01/01/2050 20:00,0.419,0.419,0.419,0.419
01/01/2050 21:00,0.379,0.379,0.379,0.379
01/01/2050 22:00,0.337,0.337,0.337,0.337
01/01/2050 23:00,0.3,0.3,0.3,0.3
02/01/2050 00:00,0.287,0.287,0.287,0.287
02/01/2050 01:00,0.285,0.285,0.285,0.285
02/01/2050 02:00,0.299,0.299,0.299,0.299
02/01/2050 03:00,0.29,0.29,0.29,0.29
02/01/2050 04:00,0.282,0.282,0.282,0.282
02/01/2050 05:00,0.266,0.266,0.266,0.266
02/01/2050 06:00,0.254,0.254,0.254,0.254
02/01/2050 07:00,0.241,0.241,0.241,0.241
02/01/2050 08:00,0.209,0.209,0.209,0.209
02/01/2050 09:00,0.168,0.168,0.168,0.168
02/01/2050 10:00,0.143,0.143,0.143,0.143
02/01/2050 11:00,0.142,0.142,0.142,0.142
02/01/2050 12:00,0.161,0.161,0.161,0.161
02/01/2050 13:00,0.2,0.2,0.2,0.2
02/01/2050 14:00,0.252,0.252,0.252,0.252
02/01/2050 15:00,0.306,0.306,0.306,0.306
02/01/2050 16:00,0.358,0.358,0.358,0.358
02/01/2050 17:00,0.392,0.392,0.392,0.392
