Timestamp [UTC],Base,PVminus10,Demandplus10,PVminus10AndDemandplus10
01/01/2050 00:00,0.993,0.993,0.993,0.993
01/01/2050 01:00,0.993,0.993,0.993,0.993
01/01/2050 02:00,0.992,0.992,0.992,0.992
01/01/2050 03:00,0.99,0.99,0.99,0.99
01/01/2050 04:00,0.988,0.988,0.988,0.988
01/01/2050 05:00,0.987,0.987,0.987,0.987
01/01/2050 06:00,0.985,0.985,0.985,0.985
01/01/2050 07:00,0.982,0.982,0.982,0.982
01/01/2050 08:00,0.977,0.977,0.977,0.977
01/01/2050 09:00,0.963,0.963,0.963,0.963
01/01/2050 10:00,0.943,0.943,0.943,0.943
01/01/2050 11:00,0.919,0.919,0.919,0.919
01/01/2050 12:00,0.901,0.901,0.901,0.901
01/01/2050 13:00,0.887,0.887,0.887,0.887
01/01/2050 14:00,0.884,0.884,0.884,0.884
01/01/2050 15:00,0.881,0.881,0.881,0.881
01/01/2050 16:00,0.85,0.85,0.85,0.85
01/01/2050 17:00,0.815,0.815,0.815,0.815
01/01/2050 18:00,0.783,0.783,0.783,0.783
01/01/2050 19:00,0.766,0.766,0.766,0.766
01/01/2050 20:00,0.749,0.749,0.749,0.749
01/01/2050 21:00,0.758,0.758,0.758,0.758
01/01/2050 22:00,0.772,0.772,0.772,0.772
01/01/2050 23:00,0.791,0.791,0.791,0.791
02/01/2050 00:00,0.807,0.807,0.807,0.807
02/01/2050 01:00,0.813,0.813,0.813,0.813
02/01/2050 02:00,0.818,0.818,0.818,0.818
02/01/2050 03:00,0.805,0.805,0.805,0.805
02/01/2050 04:00,0.779,0.779,0.779,0.779
02/01/2050 05:00,0.733,0.733,0.733,0.733
02/01/2050 06:00,0.661,0.661,0.661,0.661
02/01/2050 07:00,0.569,0.569,0.569,0.569
02/01/2050 08:00,0.486,0.486,0.486,0.486
02/01/2050 09:00,0.417,0.417,0.417,0.417
02/01/2050 10:00,0.34,0.34,0.34,0.34
02/01/2050 11:00,0.242,0.242,0.242,0.242
02/01/2050 12:00,0.177,0.177,0.177,0.177
02/01/2050 13:00,0.15,0.15,0.15,0.15
02/01/2050 14:00,0.141,0.141,0.141,0.141
02/01/2050 15:00,0.122,0.122,0.122,0.122
02/01/2050 16:00,0.105,0.105,0.105,0.105
02/01/2050 17:00,0.089,0.089,0.089,0.089
02/01/2050 18:00,0.069,0.069,0.069,0.069
02/01/2050 19:00,0.053,0.053,0.053,0.053
02/01/2050 20:00,0.045,0.045,0.045,0.045
02/01/2050 21:00,0.053,0.053,0.053,0.053
02/01/2050 22:00,0.063,0.063,0.063,0.063
02/01/2050 23:00,0.063,0.063,0.063,0.063
03/01/2050 00:00,0.065,0.065,0.065,0.065
03/01/2050 01:00,0.074,0.074,0.074,0.074
03/01/2050 02:00,0.109,0.109,0.109,0.109
03/01/2050 03:00,0.124,0.124,0.124,0.124
03/01/2050 04:00,0.071,0.071,0.071,0.071
03/01/2050 05:00,0.03,0.03,0.03,0.03
03/01/2050 06:00,0.031,0.031,0.031,0.031
03/01/2050 07:00,0.054,0.054,0.054,0.054
03/01/2050 08:00,0.084,0.084,0.084,0.084
03/01/2050 09:00,0.131,0.131,0.131,0.131
03/01/2050 10:00,0.183,0.183,0.183,0.183
03/01/2050 11:00,0.224,0.224,0.224,0.224
03/01/2050 12:00,0.215,0.215,0.215,0.215
03/01/2050 13:00,0.19,0.19,0.19,0.19
03/01/2050 14:00,0.163,0.163,0.163,0.163
03/01/2050 15:00,0.146,0.146,0.146,0.146
03/01/2050 16:00,0.135,0.135,0.135,0.135
03/01/2050 17:00,0.122,0.122,0.122,0.122
03/01/2050 18:00,0.126,0.126,0.126,0.126
03/01/2050 19:00,0.145,0.145,0.145,0.145
03/01/2050 20:00,0.155,0.155,0.155,0.155
03/01/2050 21:00,0.175,0.175,0.175,0.175
03/01/2050 22:00,0.255,0.255,0.255,0.255
03/01/2050 23:00,0.347,0.347,0.347,0.347
04/01/2050 00:00,0.449,0.449,0.449,0.449
04/01/2050 01:00,0.52,0.52,0.52,0.52
04/01/2050 02:00,0.548,0.548,0.548,0.548
04/01/2050 03:00,0.53,0.53,0.53,0.53
04/01/2050 04:00,0.496,0.496,0.496,0.496
04/01/2050 05:00,0.456,0.456,0.456,0.456
04/01/2050 06:00,0.409,0.409,0.409,0.409
04/01/2050 07:00,0.389,0.389,0.389,0.389
04/01/2050 08:00,0.483,0.483,0.483,0.483
04/01/2050 09:00,0.67,0.67,0.67,0.67
04/01/2050 10:00,0.803,0.803,0.803,0.803
04/01/2050 11:00,0.875,0.875,0.875,0.875
04/01/2050 12:00,0.884,0.884,0.884,0.884
04/01/2050 13:00,0.873,0.873,0.873,0.873
04/01/2050 14:00,0.875,0.875,0.875,0.875
04/01/2050 15:00,0.906,0.906,0.906,0.906
04/01/2050 16:00,0.922,0.922,0.922,0.922
04/01/2050 17:00,0.914,0.914,0.914,0.914
04/01/2050 18:00,0.889,0.889,0.889,0.889
04/01/2050 19:00,0.87,0.87,0.87,0.87
04/01/2050 20:00,0.868,0.868,0.868,0.868
04/01/2050 21:00,0.875,0.875,0.875,0.875
04/01/2050 22:00,0.873,0.873,0.873,0.873
04/01/2050 23:00,0.858,0.858,0.858,0.858
05/01/2050 00:00,0.82,0.82,0.82,0.82
05/01/2050 01:00,0.772,0.772,0.772,0.772
05/01/2050 02:00,0.764,0.764,0.764,0.764
05/01/2050 03:00,0.786,0.786,0.786,0.786
05/01/2050 04:00,0.823,0.823,0.823,0.823
05/01/2050 05:00,0.862,0.862,0.862,0.862
05/01/2050 06:00,0.898,0.898,0.898,0.898
05/01/2050 07:00,0.911,0.911,0.911,0.911
05/01/2050 08:00,0.898,0.898,0.898,0.898
05/01/2050 09:00,0.878,0.878,0.878,0.878
05/01/2050 10:00,0.858,0.858,0.858,0.858
05/01/2050 11:00,0.837,0.837,0.837,0.837
05/01/2050 12:00,0.82,0.82,0.82,0.82
05/01/2050 13:00,0.826,0.826,0.826,0.826
05/01/2050 14:00,0.844,0.844,0.844,0.844
05/01/2050 15:00,0.848,0.848,0.848,0.848
05/01/2050 16:00,0.811,0.811,0.811,0.811
05/01/2050 17:00,0.727,0.727,0.727,0.727
05/01/2050 18:00,0.625,0.625,0.625,0.625
05/01/2050 19:00,0.54,0.54,0.54,0.54
05/01/2050 20:00,0.5,0.5,0.5,0.5
05/01/2050 21:00,0.516,0.516,0.516,0.516
05/01/2050 22:00,0.543,0.543,0.543,0.543
05/01/2050 23:00,0.618,0.618,0.618,0.618
06/01/2050 00:00,0.728,0.728,0.728,0.728
06/01/2050 01:00,0.805,0.805,0.805,0.805
06/01/2050 02:00,0.848,0.848,0.848,0.848
06/01/2050 03:00,0.877,0.877,0.877,0.877
06/01/2050 04:00,0.893,0.893,0.893,0.893
06/01/2050 05:00,0.907,0.907,0.907,0.907
06/01/2050 06:00,0.909,0.909,0.909,0.909
06/01/2050 07:00,0.891,0.891,0.891,0.891
06/01/2050 08:00,0.855,0.855,0.855,0.855
06/01/2050 09:00,0.807,0.807,0.807,0.807
06/01/2050 10:00,0.758,0.758,0.758,0.758
06/01/2050 11:00,0.701,0.701,0.701,0.701
06/01/2050 12:00,0.644,0.644,0.644,0.644
06/01/2050 13:00,0.61,0.61,0.61,0.61
06/01/2050 14:00,0.612,0.612,0.612,0.612
06/01/2050 15:00,0.6,0.6,0.6,0.6
06/01/2050 16:00,0.571,0.571,0.571,0.571
06/01/2050 17:00,0.539,0.539,0.539,0.539
06/01/2050 18:00,0.506,0.506,0.506,0.506
06/01/2050 19:00,0.472,0.472,0.472,0.472
06/01/2050 20:00,0.456,0.456,0.456,0.456
06/01/2050 21:00,0.47,0.47,0.47,0.47
06/01/2050 22:00,0.506,0.506,0.506,0.506
06/01/2050 23:00,0.538,0.538,0.538,0.538
07/01/2050 00:00,0.551,0.551,0.551,0.551
07/01/2050 01:00,0.532,0.532,0.532,0.532
07/01/2050 02:00,0.503,0.503,0.503,0.503
07/01/2050 03:00,0.49,0.49,0.49,0.49
07/01/2050 04:00,0.489,0.489,0.489,0.489
07/01/2050 05:00,0.516,0.516,0.516,0.516
07/01/2050 06:00,0.555,0.555,0.555,0.555
07/01/2050 07:00,0.56,0.56,0.56,0.56
07/01/2050 08:00,0.549,0.549,0.549,0.549
07/01/2050 09:00,0.457,0.457,0.457,0.457
07/01/2050 10:00,0.33,0.33,0.33,0.33
07/01/2050 11:00,0.246,0.246,0.246,0.246
07/01/2050 12:00,0.21,0.21,0.21,0.21
07/01/2050 13:00,0.195,0.195,0.195,0.195
07/01/2050 14:00,0.189,0.189,0.189,0.189
07/01/2050 15:00,0.21,0.21,0.21,0.21
07/01/2050 16:00,0.24,0.24,0.24,0.24
07/01/2050 17:00,0.251,0.251,0.251,0.251
07/01/2050 18:00,0.257,0.257,0.257,0.257
07/01/2050 19:00,0.265,0.265,0.265,0.265
07/01/2050 20:00,0.268,0.268,0.268,0.268
07/01/2050 21:00,0.23,0.23,0.23,0.23
07/01/2050 22:00,0.171,0.171,0.171,0.171
07/01/2050 23:00,0.128,0.128,0.128,0.128
08/01/2050 00:00,0.099,0.099,0.099,0.099
08/01/2050 01:00,0.07,0.07,0.07,0.07
08/01/2050 02:00,0.051,0.051,0.051,0.051
08/01/2050 03:00,0.05,0.05,0.05,0.05
08/01/2050 04:00,0.053,0.053,0.053,0.053
08/01/2050 05:00,0.058,0.058,0.058,0.058
08/01/2050 06:00,0.063,0.063,0.063,0.063
08/01/2050 07:00,0.064,0.064,0.064,0.064
08/01/2050 08:00,0.038,0.038,0.038,0.038
08/01/2050 09:00,0.015,0.015,0.015,0.015
08/01/2050 10:00,0.008,0.008,0.008,0.008
08/01/2050 11:00,0.004,0.004,0.004,0.004
08/01/2050 12:00,0.002,0.002,0.002,0.002
08/01/2050 13:00,0.003,0.003,0.003,0.003
08/01/2050 14:00,0.006,0.006,0.006,0.006
08/01/2050 15:00,0.006,0.006,0.006,0.006
08/01/2050 16:00,0.006,0.006,0.006,0.006
08/01/2050 17:00,0.007,0.007,0.007,0.007
08/01/2050 18:00,0.009,0.009,0.009,0.009
08/01/2050 19:00,0.013,0.013,0.013,0.013
08/01/2050 20:00,0.02,0.02,0.02,0.02
08/01/2050 21:00,0.027,0.027,0.027,0.027
08/01/2050 22:00,0.031,0.031,0.031,0.031
08/01/2050 23:00,0.034,0.034,0.034,0.034
09/01/2050 00:00,0.035,0.035,0.035,0.035
09/01/2050 01:00,0.031,0.031,0.031,0.031
09/01/2050 02:00,0.025,0.025,0.025,0.025
09/01/2050 03:00,0.025,0.025,0.025,0.025
09/01/2050 04:00,0.025,0.025,0.025,0.025
09/01/2050 05:00,0.019,0.019,0.019,0.019
09/01/2050 06:00,0.016,0.016,0.016,0.016
09/01/2050 07:00,0.026,0.026,0.026,0.026
09/01/2050 08:00,0.035,0.035,0.035,0.035
09/01/2050 09:00,0.021,0.021,0.021,0.021
09/01/2050 10:00,0.015,0.015,0.015,0.015
09/01/2050 11:00,0.021,0.021,0.021,0.021
09/01/2050 12:00,0.044,0.044,0.044,0.044
09/01/2050 13:00,0.062,0.062,0.062,0.062
09/01/2050 14:00,0.059,0.059,0.059,0.059
09/01/2050 15:00,0.037,0.037,0.037,0.037
09/01/2050 16:00,0.031,0.031,0.031,0.031
09/01/2050 17:00,0.064,0.064,0.064,0.064
09/01/2050 18:00,0.074,0.074,0.074,0.074
09/01/2050 19:00,0.086,0.086,0.086,0.086
09/01/2050 20:00,0.118,0.118,0.118,0.118
09/01/2050 21:00,0.137,0.137,0.137,0.137
09/01/2050 22:00,0.172,0.172,0.172,0.172
09/01/2050 23:00,0.202,0.202,0.202,0.202
10/01/2050 00:00,0.24,0.24,0.24,0.24
10/01/2050 01:00,0.279,0.279,0.279,0.279
10/01/2050 02:00,0.299,0.299,0.299,0.299
10/01/2050 03:00,0.319,0.319,0.319,0.319
10/01/2050 04:00,0.286,0.286,0.286,0.286
10/01/2050 05:00,0.266,0.266,0.266,0.266
10/01/2050 06:00,0.236,0.236,0.236,0.236
10/01/2050 07:00,0.187,0.187,0.187,0.187
10/01/2050 08:00,0.133,0.133,0.133,0.133
10/01/2050 09:00,0.108,0.108,0.108,0.108
10/01/2050 10:00,0.119,0.119,0.119,0.119
10/01/2050 11:00,0.151,0.151,0.151,0.151
10/01/2050 12:00,0.173,0.173,0.173,0.173
10/01/2050 13:00,0.168,0.168,0.168,0.168
10/01/2050 14:00,0.159,0.159,0.159,0.159
10/01/2050 15:00,0.161,0.161,0.161,0.161
10/01/2050 16:00,0.17,0.17,0.17,0.17
10/01/2050 17:00,0.172,0.172,0.172,0.172
10/01/2050 18:00,0.139,0.139,0.139,0.139
10/01/2050 19:00,0.088,0.088,0.088,0.088
10/01/2050 20:00,0.063,0.063,0.063,0.063
10/01/2050 21:00,0.068,0.068,0.068,0.068
10/01/2050 22:00,0.086,0.086,0.086,0.086
10/01/2050 23:00,0.11,0.11,0.11,0.11
11/01/2050 00:00,0.15,0.15,0.15,0.15
11/01/2050 01:00,0.214,0.214,0.214,0.214
11/01/2050 02:00,0.287,0.287,0.287,0.287
11/01/2050 03:00,0.351,0.351,0.351,0.351
11/01/2050 04:00,0.402,0.402,0.402,0.402
