Timestamp [UTC],Base,PVminus10,Demandplus10,PVminus10AndDemandplus10
01/01/2050 00:00,0.538,0.538,0.538,0.538
01/01/2050 01:00,0.501,0.501,0.501,0.501
01/01/2050 02:00,0.371,0.371,0.371,0.371
01/01/2050 03:00,0.221,0.221,0.221,0.221
01/01/2050 04:00,0.089,0.089,0.089,0.089
01/01/2050 05:00,0.024,0.024,0.024,0.024
01/01/2050 06:00,0.016,0.016,0.016,0.016
01/01/2050 07:00,0.04,0.04,0.04,0.04
01/01/2050 08:00,0.074,0.074,0.074,0.074
01/01/2050 09:00,0.077,0.077,0.077,0.077
01/01/2050 10:00,0.098,0.098,0.098,0.098
01/01/2050 11:00,0.157,0.157,0.157,0.157
01/01/2050 12:00,0.205,0.205,0.205,0.205
01/01/2050 13:00,0.196,0.196,0.196,0.196
01/01/2050 14:00,0.199,0.199,0.199,0.199
01/01/2050 15:00,0.224,0.224,0.224,0.224
01/01/2050 16:00,0.253,0.253,0.253,0.253
01/01/2050 17:00,0.234,0.234,0.234,0.234
01/01/2050 18:00,0.169,0.169,0.169,0.169
01/01/2050 19:00,0.136,0.136,0.136,0.136
01/01/2050 20:00,0.083,0.083,0.083,0.083
01/01/2050 21:00,0.094,0.094,0.094,0.094
01/01/2050 22:00,0.119,0.119,0.119,0.119
01/01/2050 23:00,0.12,0.12,0.12,0.12
02/01/2050 00:00,0.128,0.128,0.128,0.128
02/01/2050 01:00,0.138,0.138,0.138,0.138
02/01/2050 02:00,0.155,0.155,0.155,0.155
02/01/2050 03:00,0.183,0.183,0.183,0.183
02/01/2050 04:00,0.221,0.221,0.221,0.221
02/01/2050 05:00,0.281,0.281,0.281,0.281
02/01/2050 06:00,0.369,0.369,0.369,0.369
02/01/2050 07:00,0.452,0.452,0.452,0.452
02/01/2050 08:00,0.529,0.529,0.529,0.529
02/01/2050 09:00,0.581,0.581,0.581,0.581
02/01/2050 10:00,0.63,0.63,0.63,0.63
02/01/2050 11:00,0.702,0.702,0.702,0.702
02/01/2050 12:00,0.794,0.794,0.794,0.794
02/01/2050 13:00,0.868,0.868,0.868,0.868
02/01/2050 14:00,0.9,0.9,0.9,0.9
02/01/2050 15:00,0.931,0.931,0.931,0.931
02/01/2050 16:00,0.955,0.955,0.955,0.955
02/01/2050 17:00,0.961,0.961,0.961,0.961
02/01/2050 18:00,0.967,0.967,0.967,0.967
02/01/2050 19:00,0.972,0.972,0.972,0.972
02/01/2050 20:00,0.974,0.974,0.974,0.974
02/01/2050 21:00,0.975,0.975,0.975,0.975
02/01/2050 22:00,0.976,0.976,0.976,0.976
02/01/2050 23:00,0.975,0.975,0.975,0.975
03/01/2050 00:00,0.971,0.971,0.971,0.971
03/01/2050 01:00,0.966,0.966,0.966,0.966
03/01/2050 02:00,0.958,0.958,0.958,0.958
03/01/2050 03:00,0.951,0.951,0.951,0.951
03/01/2050 04:00,0.945,0.945,0.945,0.945
03/01/2050 05:00,0.935,0.935,0.935,0.935
03/01/2050 06:00,0.924,0.924,0.924,0.924
03/01/2050 07:00,0.92,0.92,0.92,0.92
03/01/2050 08:00,0.917,0.917,0.917,0.917
03/01/2050 09:00,0.911,0.911,0.911,0.911
03/01/2050 10:00,0.907,0.907,0.907,0.907
03/01/2050 11:00,0.914,0.914,0.914,0.914
03/01/2050 12:00,0.919,0.919,0.919,0.919
03/01/2050 13:00,0.911,0.911,0.911,0.911
03/01/2050 14:00,0.912,0.912,0.912,0.912
03/01/2050 15:00,0.931,0.931,0.931,0.931
03/01/2050 16:00,0.948,0.948,0.948,0.948
03/01/2050 17:00,0.963,0.963,0.963,0.963
03/01/2050 18:00,0.971,0.971,0.971,0.971
03/01/2050 19:00,0.978,0.978,0.978,0.978
03/01/2050 20:00,0.977,0.977,0.977,0.977
03/01/2050 21:00,0.978,0.978,0.978,0.978
03/01/2050 22:00,0.98,0.98,0.98,0.98
03/01/2050 23:00,0.981,0.981,0.981,0.981
04/01/2050 00:00,0.983,0.983,0.983,0.983
04/01/2050 01:00,0.985,0.985,0.985,0.985
04/01/2050 02:00,0.988,0.988,0.988,0.988
04/01/2050 03:00,0.987,0.987,0.987,0.987
04/01/2050 04:00,0.985,0.985,0.985,0.985
04/01/2050 05:00,0.982,0.982,0.982,0.982
04/01/2050 06:00,0.979,0.979,0.979,0.979
04/01/2050 07:00,0.977,0.977,0.977,0.977
04/01/2050 08:00,0.976,0.976,0.976,0.976
04/01/2050 09:00,0.984,0.984,0.984,0.984
04/01/2050 10:00,0.991,0.991,0.991,0.991
04/01/2050 11:00,0.993,0.993,0.993,0.993
04/01/2050 12:00,0.993,0.993,0.993,0.993
04/01/2050 13:00,0.993,0.993,0.993,0.993
04/01/2050 14:00,0.993,0.993,0.993,0.993
04/01/2050 15:00,0.993,0.993,0.993,0.993
04/01/2050 16:00,0.993,0.993,0.993,0.993
04/01/2050 17:00,0.99,0.99,0.99,0.99
04/01/2050 18:00,0.986,0.986,0.986,0.986
04/01/2050 19:00,0.981,0.981,0.981,0.981
04/01/2050 20:00,0.971,0.971,0.971,0.971
04/01/2050 21:00,0.951,0.951,0.951,0.951
04/01/2050 22:00,0.905,0.905,0.905,0.905
04/01/2050 23:00,0.817,0.817,0.817,0.817
05/01/2050 00:00,0.604,0.604,0.604,0.604
05/01/2050 01:00,0.476,0.476,0.476,0.476
05/01/2050 02:00,0.42,0.42,0.42,0.42
05/01/2050 03:00,0.339,0.339,0.339,0.339
05/01/2050 04:00,0.261,0.261,0.261,0.261
05/01/2050 05:00,0.2,0.2,0.2,0.2
05/01/2050 06:00,0.167,0.167,0.167,0.167
05/01/2050 07:00,0.131,0.131,0.131,0.131
05/01/2050 08:00,0.095,0.095,0.095,0.095
05/01/2050 09:00,0.072,0.072,0.072,0.072
05/01/2050 10:00,0.059,0.059,0.059,0.059
05/01/2050 11:00,0.059,0.059,0.059,0.059
05/01/2050 12:00,0.07,0.07,0.07,0.07
05/01/2050 13:00,0.084,0.084,0.084,0.084
05/01/2050 14:00,0.097,0.097,0.097,0.097
05/01/2050 15:00,0.107,0.107,0.107,0.107
05/01/2050 16:00,0.112,0.112,0.112,0.112
05/01/2050 17:00,0.109,0.109,0.109,0.109
05/01/2050 18:00,0.093,0.093,0.093,0.093
05/01/2050 19:00,0.073,0.073,0.073,0.073
05/01/2050 20:00,0.052,0.052,0.052,0.052
05/01/2050 21:00,0.037,0.037,0.037,0.037
05/01/2050 22:00,0.028,0.028,0.028,0.028
05/01/2050 23:00,0.021,0.021,0.021,0.021
06/01/2050 00:00,0.015,0.015,0.015,0.015
06/01/2050 01:00,0.009,0.009,0.009,0.009
06/01/2050 02:00,0.005,0.005,0.005,0.005
06/01/2050 03:00,0.004,0.004,0.004,0.004
06/01/2050 04:00,0.028,0.028,0.028,0.028
06/01/2050 05:00,0.091,0.091,0.091,0.091
06/01/2050 06:00,0.175,0.175,0.175,0.175
06/01/2050 07:00,0.258,0.258,0.258,0.258
06/01/2050 08:00,0.312,0.312,0.312,0.312
06/01/2050 09:00,0.313,0.313,0.313,0.313
06/01/2050 10:00,0.299,0.299,0.299,0.299
06/01/2050 11:00,0.298,0.298,0.298,0.298
06/01/2050 12:00,0.293,0.293,0.293,0.293
06/01/2050 13:00,0.264,0.264,0.264,0.264
06/01/2050 14:00,0.221,0.221,0.221,0.221
06/01/2050 15:00,0.209,0.209,0.209,0.209
06/01/2050 16:00,0.22,0.22,0.22,0.22
06/01/2050 17:00,0.248,0.248,0.248,0.248
06/01/2050 18:00,0.292,0.292,0.292,0.292
06/01/2050 19:00,0.305,0.305,0.305,0.305
06/01/2050 20:00,0.235,0.235,0.235,0.235
06/01/2050 21:00,0.262,0.262,0.262,0.262
06/01/2050 22:00,0.288,0.288,0.288,0.288
06/01/2050 23:00,0.31,0.31,0.31,0.31
07/01/2050 00:00,0.343,0.343,0.343,0.343
07/01/2050 01:00,0.36,0.36,0.36,0.36
07/01/2050 02:00,0.362,0.362,0.362,0.362
07/01/2050 03:00,0.333,0.333,0.333,0.333
07/01/2050 04:00,0.28,0.28,0.28,0.28
07/01/2050 05:00,0.23,0.23,0.23,0.23
07/01/2050 06:00,0.205,0.205,0.205,0.205
07/01/2050 07:00,0.217,0.217,0.217,0.217
07/01/2050 08:00,0.229,0.229,0.229,0.229
07/01/2050 09:00,0.253,0.253,0.253,0.253
07/01/2050 10:00,0.26,0.26,0.26,0.26
07/01/2050 11:00,0.253,0.253,0.253,0.253
07/01/2050 12:00,0.27,0.27,0.27,0.27
07/01/2050 13:00,0.284,0.284,0.284,0.284
07/01/2050 14:00,0.299,0.299,0.299,0.299
07/01/2050 15:00,0.321,0.321,0.321,0.321
07/01/2050 16:00,0.344,0.344,0.344,0.344
07/01/2050 17:00,0.331,0.331,0.331,0.331
07/01/2050 18:00,0.288,0.288,0.288,0.288
07/01/2050 19:00,0.246,0.246,0.246,0.246
07/01/2050 20:00,0.223,0.223,0.223,0.223
07/01/2050 21:00,0.218,0.218,0.218,0.218
07/01/2050 22:00,0.214,0.214,0.214,0.214
07/01/2050 23:00,0.203,0.203,0.203,0.203
08/01/2050 00:00,0.2,0.2,0.2,0.2
08/01/2050 01:00,0.183,0.183,0.183,0.183
08/01/2050 02:00,0.186,0.186,0.186,0.186
08/01/2050 03:00,0.21,0.21,0.21,0.21
08/01/2050 04:00,0.258,0.258,0.258,0.258
08/01/2050 05:00,0.319,0.319,0.319,0.319
08/01/2050 06:00,0.376,0.376,0.376,0.376
08/01/2050 07:00,0.42,0.42,0.42,0.42
08/01/2050 08:00,0.448,0.448,0.448,0.448
08/01/2050 09:00,0.454,0.454,0.454,0.454
08/01/2050 10:00,0.47,0.47,0.47,0.47
08/01/2050 11:00,0.515,0.515,0.515,0.515
08/01/2050 12:00,0.572,0.572,0.572,0.572
08/01/2050 13:00,0.631,0.631,0.631,0.631
08/01/2050 14:00,0.672,0.672,0.672,0.672
08/01/2050 15:00,0.685,0.685,0.685,0.685
08/01/2050 16:00,0.678,0.678,0.678,0.678
08/01/2050 17:00,0.733,0.733,0.733,0.733
08/01/2050 18:00,0.86,0.86,0.86,0.86
08/01/2050 19:00,0.915,0.915,0.915,0.915
08/01/2050 20:00,0.935,0.935,0.935,0.935
08/01/2050 21:00,0.957,0.957,0.957,0.957
08/01/2050 22:00,0.971,0.971,0.971,0.971
08/01/2050 23:00,0.98,0.98,0.98,0.98
09/01/2050 00:00,0.983,0.983,0.983,0.983
09/01/2050 01:00,0.984,0.984,0.984,0.984
09/01/2050 02:00,0.986,0.986,0.986,0.986
09/01/2050 03:00,0.985,0.985,0.985,0.985
09/01/2050 04:00,0.977,0.977,0.977,0.977
09/01/2050 05:00,0.971,0.971,0.971,0.971
09/01/2050 06:00,0.963,0.963,0.963,0.963
09/01/2050 07:00,0.948,0.948,0.948,0.948
09/01/2050 08:00,0.917,0.917,0.917,0.917
09/01/2050 09:00,0.892,0.892,0.892,0.892
09/01/2050 10:00,0.878,0.878,0.878,0.878
09/01/2050 11:00,0.886,0.886,0.886,0.886
09/01/2050 12:00,0.892,0.892,0.892,0.892
09/01/2050 13:00,0.905,0.905,0.905,0.905
09/01/2050 14:00,0.899,0.899,0.899,0.899
09/01/2050 15:00,0.899,0.899,0.899,0.899
09/01/2050 16:00,0.909,0.909,0.909,0.909
09/01/2050 17:00,0.926,0.926,0.926,0.926
09/01/2050 18:00,0.935,0.935,0.935,0.935
09/01/2050 19:00,0.938,0.938,0.938,0.938
09/01/2050 20:00,0.935,0.935,0.935,0.935
09/01/2050 21:00,0.934,0.934,0.934,0.934
09/01/2050 22:00,0.937,0.937,0.937,0.937
09/01/2050 23:00,0.937,0.937,0.937,0.937
10/01/2050 00:00,0.934,0.934,0.934,0.934
10/01/2050 01:00,0.934,0.934,0.934,0.934
10/01/2050 02:00,0.937,0.937,0.937,0.937
10/01/2050 03:00,0.942,0.942,0.942,0.942
10/01/2050 04:00,0.946,0.946,0.946,0.946
10/01/2050 05:00,0.947,0.947,0.947,0.947
10/01/2050 06:00,0.946,0.946,0.946,0.946
10/01/2050 07:00,0.94,0.94,0.94,0.94
10/01/2050 08:00,0.923,0.923,0.923,0.923
10/01/2050 09:00,0.898,0.898,0.898,0.898
10/01/2050 10:00,0.886,0.886,0.886,0.886
10/01/2050 11:00,0.898,0.898,0.898,0.898
10/01/2050 12:00,0.905,0.905,0.905,0.905
10/01/2050 13:00,0.905,0.905,0.905,0.905
10/01/2050 14:00,0.902,0.902,0.902,0.902
10/01/2050 15:00,0.915,0.915,0.915,0.915
10/01/2050 16:00,0.931,0.931,0.931,0.931
10/01/2050 17:00,0.94,0.94,0.94,0.94
10/01/2050 18:00,0.946,0.946,0.946,0.946
10/01/2050 19:00,0.947,0.947,0.947,0.947
10/01/2050 20:00,0.955,0.955,0.955,0.955
10/01/2050 21:00,0.957,0.957,0.957,0.957
10/01/2050 22:00,0.958,0.958,0.958,0.958
10/01/2050 23:00,0.959,0.959,0.959,0.959
11/01/2050 00:00,0.958,0.958,0.958,0.958
11/01/2050 01:00,0.954,0.954,0.954,0.954
11/01/2050 02:00,0.952,0.952,0.952,0.952
11/01/2050 03:00,0.95,0.95,0.95,0.95
11/01/2050 04:00,0.952,0.952,0.952,0.952
11/01/2050 05:00,0.959,0.959,0.959,0.959
11/01/2050 06:00,0.967,0.967,0.967,0.967
11/01/2050 07:00,0.972,0.972,0.972,0.972
11/01/2050 08:00,0.976,0.976,0.976,0.976
11/01/2050 09:00,0.986,0.986,0.986,0.986
11/01/2050 10:00,0.993,0.993,0.993,0.993
11/01/2050 11:00,0.988,0.988,0.988,0.988
11/01/2050 12:00,0.988,0.988,0.988,0.988
11/01/2050 13:00,0.987,0.987,0.987,0.987
11/01/2050 14:00,0.979,0.979,0.979,0.979
11/01/2050 15:00,0.964,0.964,0.964,0.964
11/01/2050 16:00,0.965,0.965,0.965,0.965
11/01/2050 17:00,0.984,0.984,0.984,0.984
11/01/2050 18:00,0.993,0.993,0.993,0.993
11/01/2050 19:00,0.993,0.993,0.993,0.993
11/01/2050 20:00,0.991,0.991,0.991,0.991
11/01/2050 21:00,0.988,0.988,0.988,0.988
11/01/2050 22:00,0.986,0.986,0.986,0.986
11/01/2050 23:00,0.988,0.988,0.988,0.988
