Timestamp [UTC],Base,PVminus10,Demandplus10,PVminus10AndDemandplus10
01/01/2050 00:00,0.361,0.361,0.361,0.361
01/01/2050 01:00,0.346,0.346,0.346,0.346
01/01/2050 02:00,0.327,0.327,0.327,0.327
01/01/2050 03:00,0.314,0.314,0.314,0.314
01/01/2050 04:00,0.279,0.279,0.279,0.279
01/01/2050 05:00,0.28,0.28,0.28,0.28
01/01/2050 06:00,0.326,0.326,0.326,0.326
01/01/2050 07:00,0.372,0.372,0.372,0.372
01/01/2050 08:00,0.281,0.281,0.281,0.281
01/01/2050 09:00,0.236,0.236,0.236,0.236
01/01/2050 10:00,0.289,0.289,0.289,0.289
01/01/2050 11:00,0.348,0.348,0.348,0.348
01/01/2050 12:00,0.443,0.443,0.443,0.443
01/01/2050 13:00,0.458,0.458,0.458,0.458
01/01/2050 14:00,0.373,0.373,0.373,0.373
01/01/2050 15:00,0.433,0.433,0.433,0.433
01/01/2050 16:00,0.48,0.48,0.48,0.48
01/01/2050 17:00,0.456,0.456,0.456,0.456
01/01/2050 18:00,0.455,0.455,0.455,0.455
01/01/2050 19:00,0.49,0.49,0.49,0.49
01/01/2050 20:00,0.482,0.482,0.482,0.482
01/01/2050 21:00,0.51,0.51,0.51,0.51
01/01/2050 22:00,0.507,0.507,0.507,0.507
01/01/2050 23:00,0.477,0.477,0.477,0.477
02/01/2050 00:00,0.432,0.432,0.432,0.432
02/01/2050 01:00,0.412,0.412,0.412,0.412
02/01/2050 02:00,0.376,0.376,0.376,0.376
02/01/2050 03:00,0.393,0.393,0.393,0.393
02/01/2050 04:00,0.395,0.395,0.395,0.395
02/01/2050 05:00,0.425,0.425,0.425,0.425
02/01/2050 06:00,0.421,0.421,0.421,0.421
02/01/2050 07:00,0.453,0.453,0.453,0.453
02/01/2050 08:00,0.475,0.475,0.475,0.475
02/01/2050 09:00,0.506,0.506,0.506,0.506
02/01/2050 10:00,0.556,0.556,0.556,0.556
02/01/2050 11:00,0.608,0.608,0.608,0.608
02/01/2050 12:00,0.615,0.615,0.615,0.615
02/01/2050 13:00,0.579,0.579,0.579,0.579
02/01/2050 14:00,0.578,0.578,0.578,0.578
02/01/2050 15:00,0.603,0.603,0.603,0.603
02/01/2050 16:00,0.562,0.562,0.562,0.562
02/01/2050 17:00,0.534,0.534,0.534,0.534
02/01/2050 18:00,0.549,0.549,0.549,0.549
02/01/2050 19:00,0.526,0.526,0.526,0.526
02/01/2050 20:00,0.511,0.511,0.511,0.511
02/01/2050 21:00,0.459,0.459,0.459,0.459
02/01/2050 22:00,0.405,0.405,0.405,0.405
02/01/2050 23:00,0.381,0.381,0.381,0.381
03/01/2050 00:00,0.351,0.351,0.351,0.351
03/01/2050 01:00,0.335,0.335,0.335,0.335
03/01/2050 02:00,0.325,0.325,0.325,0.325
03/01/2050 03:00,0.383,0.383,0.383,0.383
03/01/2050 04:00,0.445,0.445,0.445,0.445
03/01/2050 05:00,0.488,0.488,0.488,0.488
03/01/2050 06:00,0.549,0.549,0.549,0.549
03/01/2050 07:00,0.572,0.572,0.572,0.572
03/01/2050 08:00,0.553,0.553,0.553,0.553
03/01/2050 09:00,0.536,0.536,0.536,0.536
03/01/2050 10:00,0.543,0.543,0.543,0.543
03/01/2050 11:00,0.521,0.521,0.521,0.521
03/01/2050 12:00,0.463,0.463,0.463,0.463
03/01/2050 13:00,0.405,0.405,0.405,0.405
03/01/2050 14:00,0.377,0.377,0.377,0.377
03/01/2050 15:00,0.388,0.388,0.388,0.388
03/01/2050 16:00,0.383,0.383,0.383,0.383
03/01/2050 17:00,0.373,0.373,0.373,0.373
03/01/2050 18:00,0.368,0.368,0.368,0.368
03/01/2050 19:00,0.378,0.378,0.378,0.378
03/01/2050 20:00,0.37,0.37,0.37,0.37
03/01/2050 21:00,0.368,0.368,0.368,0.368
03/01/2050 22:00,0.355,0.355,0.355,0.355
03/01/2050 23:00,0.37,0.37,0.37,0.37
04/01/2050 00:00,0.341,0.341,0.341,0.341
04/01/2050 01:00,0.324,0.324,0.324,0.324
04/01/2050 02:00,0.352,0.352,0.352,0.352
04/01/2050 03:00,0.415,0.415,0.415,0.415
04/01/2050 04:00,0.46,0.46,0.46,0.46
04/01/2050 05:00,0.461,0.461,0.461,0.461
04/01/2050 06:00,0.501,0.501,0.501,0.501
04/01/2050 07:00,0.547,0.547,0.547,0.547
04/01/2050 08:00,0.534,0.534,0.534,0.534
04/01/2050 09:00,0.624,0.624,0.624,0.624
04/01/2050 10:00,0.769,0.769,0.769,0.769
04/01/2050 11:00,0.886,0.886,0.886,0.886
04/01/2050 12:00,0.932,0.932,0.932,0.932
04/01/2050 13:00,0.942,0.942,0.942,0.942
04/01/2050 14:00,0.954,0.954,0.954,0.954
04/01/2050 15:00,0.96,0.96,0.96,0.96
04/01/2050 16:00,0.96,0.96,0.96,0.96
04/01/2050 17:00,0.957,0.957,0.957,0.957
04/01/2050 18:00,0.958,0.958,0.958,0.958
04/01/2050 19:00,0.948,0.948,0.948,0.948
04/01/2050 20:00,0.939,0.939,0.939,0.939
04/01/2050 21:00,0.904,0.904,0.904,0.904
04/01/2050 22:00,0.852,0.852,0.852,0.852
04/01/2050 23:00,0.815,0.815,0.815,0.815
05/01/2050 00:00,0.75,0.75,0.75,0.75
05/01/2050 01:00,0.609,0.609,0.609,0.609
05/01/2050 02:00,0.467,0.467,0.467,0.467
05/01/2050 03:00,0.373,0.373,0.373,0.373
