Timestamp [UTC],Base,PVminus10,Demandplus10,PVminus10AndDemandplus10
01/01/2050 00:00,0.2,0.2,0.2,0.2
01/01/2050 01:00,0.17,0.17,0.17,0.17
01/01/2050 02:00,0.133,0.133,0.133,0.133
01/01/2050 03:00,0.107,0.107,0.107,0.107
01/01/2050 04:00,0.09,0.09,0.09,0.09
01/01/2050 05:00,0.076,0.076,0.076,0.076
01/01/2050 06:00,0.059,0.059,0.059,0.059
01/01/2050 07:00,0.031,0.031,0.031,0.031
01/01/2050 08:00,0.009,0.009,0.009,0.009
01/01/2050 09:00,0.008,0.008,0.008,0.008
01/01/2050 10:00,0.034,0.034,0.034,0.034
01/01/2050 11:00,0.073,0.073,0.073,0.073
01/01/2050 12:00,0.122,0.122,0.122,0.122
01/01/2050 13:00,0.168,0.168,0.168,0.168
01/01/2050 14:00,0.21,0.21,0.21,0.21
01/01/2050 15:00,0.209,0.209,0.209,0.209
01/01/2050 16:00,0.179,0.179,0.179,0.179
01/01/2050 17:00,0.153,0.153,0.153,0.153
01/01/2050 18:00,0.132,0.132,0.132,0.132
01/01/2050 19:00,0.122,0.122,0.122,0.122
01/01/2050 20:00,0.122,0.122,0.122,0.122
01/01/2050 21:00,0.138,0.138,0.138,0.138
01/01/2050 22:00,0.165,0.165,0.165,0.165
01/01/2050 23:00,0.203,0.203,0.203,0.203
02/01/2050 00:00,0.266,0.266,0.266,0.266
02/01/2050 01:00,0.322,0.322,0.322,0.322
02/01/2050 02:00,0.357,0.357,0.357,0.357
02/01/2050 03:00,0.375,0.375,0.375,0.375
02/01/2050 04:00,0.376,0.376,0.376,0.376
02/01/2050 05:00,0.363,0.363,0.363,0.363
02/01/2050 06:00,0.351,0.351,0.351,0.351
02/01/2050 07:00,0.327,0.327,0.327,0.327
02/01/2050 08:00,0.325,0.325,0.325,0.325
02/01/2050 09:00,0.341,0.341,0.341,0.341
02/01/2050 10:00,0.386,0.386,0.386,0.386
02/01/2050 11:00,0.456,0.456,0.456,0.456
02/01/2050 12:00,0.54,0.54,0.54,0.54
02/01/2050 13:00,0.595,0.595,0.595,0.595
02/01/2050 14:00,0.606,0.606,0.606,0.606
02/01/2050 15:00,0.603,0.603,0.603,0.603
02/01/2050 16:00,0.576,0.576,0.576,0.576
02/01/2050 17:00,0.537,0.537,0.537,0.537
02/01/2050 18:00,0.506,0.506,0.506,0.506
02/01/2050 19:00,0.495,0.495,0.495,0.495
02/01/2050 20:00,0.504,0.504,0.504,0.504
02/01/2050 21:00,0.514,0.514,0.514,0.514
02/01/2050 22:00,0.524,0.524,0.524,0.524
02/01/2050 23:00,0.524,0.524,0.524,0.524
03/01/2050 00:00,0.51,0.51,0.51,0.51
03/01/2050 01:00,0.488,0.488,0.488,0.488
03/01/2050 02:00,0.467,0.467,0.467,0.467
03/01/2050 03:00,0.444,0.444,0.444,0.444
03/01/2050 04:00,0.407,0.407,0.407,0.407
03/01/2050 05:00,0.373,0.373,0.373,0.373
03/01/2050 06:00,0.338,0.338,0.338,0.338
03/01/2050 07:00,0.301,0.301,0.301,0.301
03/01/2050 08:00,0.315,0.315,0.315,0.315
03/01/2050 09:00,0.322,0.322,0.322,0.322
03/01/2050 10:00,0.337,0.337,0.337,0.337
03/01/2050 11:00,0.341,0.341,0.341,0.341
03/01/2050 12:00,0.341,0.341,0.341,0.341
03/01/2050 13:00,0.351,0.351,0.351,0.351
03/01/2050 14:00,0.355,0.355,0.355,0.355
03/01/2050 15:00,0.335,0.335,0.335,0.335
03/01/2050 16:00,0.295,0.295,0.295,0.295
03/01/2050 17:00,0.255,0.255,0.255,0.255
03/01/2050 18:00,0.215,0.215,0.215,0.215
03/01/2050 19:00,0.2,0.2,0.2,0.2
03/01/2050 20:00,0.202,0.202,0.202,0.202
03/01/2050 21:00,0.226,0.226,0.226,0.226
03/01/2050 22:00,0.239,0.239,0.239,0.239
03/01/2050 23:00,0.241,0.241,0.241,0.241
04/01/2050 00:00,0.271,0.271,0.271,0.271
04/01/2050 01:00,0.305,0.305,0.305,0.305
04/01/2050 02:00,0.329,0.329,0.329,0.329
04/01/2050 03:00,0.321,0.321,0.321,0.321
04/01/2050 04:00,0.289,0.289,0.289,0.289
04/01/2050 05:00,0.265,0.265,0.265,0.265
04/01/2050 06:00,0.26,0.26,0.26,0.26
04/01/2050 07:00,0.258,0.258,0.258,0.258
04/01/2050 08:00,0.314,0.314,0.314,0.314
04/01/2050 09:00,0.416,0.416,0.416,0.416
04/01/2050 10:00,0.522,0.522,0.522,0.522
