Timestamp [UTC],Base,PVminus10,Demandplus10,PVminus10AndDemandplus10
01/01/2050 00:00,0.618,0.618,0.618,0.618
01/01/2050 01:00,0.6,0.6,0.6,0.6
01/01/2050 02:00,0.564,0.564,0.564,0.564
01/01/2050 03:00,0.562,0.562,0.562,0.562
01/01/2050 04:00,0.542,0.542,0.542,0.542
01/01/2050 05:00,0.506,0.506,0.506,0.506
01/01/2050 06:00,0.501,0.501,0.501,0.501
01/01/2050 07:00,0.475,0.475,0.475,0.475
01/01/2050 08:00,0.47,0.47,0.47,0.47
01/01/2050 09:00,0.457,0.457,0.457,0.457
01/01/2050 10:00,0.445,0.445,0.445,0.445
01/01/2050 11:00,0.454,0.454,0.454,0.454
01/01/2050 12:00,0.461,0.461,0.461,0.461
01/01/2050 13:00,0.465,0.465,0.465,0.465
01/01/2050 14:00,0.461,0.461,0.461,0.461
01/01/2050 15:00,0.431,0.431,0.431,0.431
01/01/2050 16:00,0.361,0.361,0.361,0.361
01/01/2050 17:00,0.267,0.267,0.267,0.267
01/01/2050 18:00,0.175,0.175,0.175,0.175
01/01/2050 19:00,0.113,0.113,0.113,0.113
01/01/2050 20:00,0.095,0.095,0.095,0.095
01/01/2050 21:00,0.115,0.115,0.115,0.115
01/01/2050 22:00,0.148,0.148,0.148,0.148
01/01/2050 23:00,0.179,0.179,0.179,0.179
02/01/2050 00:00,0.226,0.226,0.226,0.226
02/01/2050 01:00,0.315,0.315,0.315,0.315
02/01/2050 02:00,0.448,0.448,0.448,0.448
02/01/2050 03:00,0.557,0.557,0.557,0.557
02/01/2050 04:00,0.594,0.594,0.594,0.594
02/01/2050 05:00,0.607,0.607,0.607,0.607
02/01/2050 06:00,0.625,0.625,0.625,0.625
02/01/2050 07:00,0.625,0.625,0.625,0.625
02/01/2050 08:00,0.588,0.588,0.588,0.588
02/01/2050 09:00,0.504,0.504,0.504,0.504
02/01/2050 10:00,0.423,0.423,0.423,0.423
02/01/2050 11:00,0.348,0.348,0.348,0.348
02/01/2050 12:00,0.336,0.336,0.336,0.336
02/01/2050 13:00,0.348,0.348,0.348,0.348
02/01/2050 14:00,0.34,0.34,0.34,0.34
02/01/2050 15:00,0.392,0.392,0.392,0.392
02/01/2050 16:00,0.436,0.436,0.436,0.436
02/01/2050 17:00,0.45,0.45,0.45,0.45
02/01/2050 18:00,0.444,0.444,0.444,0.444
02/01/2050 19:00,0.434,0.434,0.434,0.434
02/01/2050 20:00,0.435,0.435,0.435,0.435
02/01/2050 21:00,0.431,0.431,0.431,0.431
02/01/2050 22:00,0.44,0.44,0.44,0.44
02/01/2050 23:00,0.45,0.45,0.45,0.45
03/01/2050 00:00,0.48,0.48,0.48,0.48
03/01/2050 01:00,0.511,0.511,0.511,0.511
03/01/2050 02:00,0.549,0.549,0.549,0.549
03/01/2050 03:00,0.575,0.575,0.575,0.575
03/01/2050 04:00,0.594,0.594,0.594,0.594
03/01/2050 05:00,0.582,0.582,0.582,0.582
03/01/2050 06:00,0.582,0.582,0.582,0.582
03/01/2050 07:00,0.597,0.597,0.597,0.597
03/01/2050 08:00,0.625,0.625,0.625,0.625
03/01/2050 09:00,0.645,0.645,0.645,0.645
03/01/2050 10:00,0.616,0.616,0.616,0.616
03/01/2050 11:00,0.662,0.662,0.662,0.662
03/01/2050 12:00,0.702,0.702,0.702,0.702
03/01/2050 13:00,0.708,0.708,0.708,0.708
03/01/2050 14:00,0.727,0.727,0.727,0.727
03/01/2050 15:00,0.732,0.732,0.732,0.732
03/01/2050 16:00,0.744,0.744,0.744,0.744
03/01/2050 17:00,0.759,0.759,0.759,0.759
03/01/2050 18:00,0.76,0.76,0.76,0.76
03/01/2050 19:00,0.77,0.77,0.77,0.77
03/01/2050 20:00,0.777,0.777,0.777,0.777
03/01/2050 21:00,0.794,0.794,0.794,0.794
03/01/2050 22:00,0.806,0.806,0.806,0.806
03/01/2050 23:00,0.815,0.815,0.815,0.815
04/01/2050 00:00,0.818,0.818,0.818,0.818
04/01/2050 01:00,0.824,0.824,0.824,0.824
04/01/2050 02:00,0.835,0.835,0.835,0.835
04/01/2050 03:00,0.844,0.844,0.844,0.844
04/01/2050 04:00,0.867,0.867,0.867,0.867
04/01/2050 05:00,0.883,0.883,0.883,0.883
04/01/2050 06:00,0.872,0.872,0.872,0.872
04/01/2050 07:00,0.858,0.858,0.858,0.858
04/01/2050 08:00,0.849,0.849,0.849,0.849
04/01/2050 09:00,0.845,0.845,0.845,0.845
04/01/2050 10:00,0.88,0.88,0.88,0.88
04/01/2050 11:00,0.911,0.911,0.911,0.911
04/01/2050 12:00,0.92,0.92,0.92,0.92
04/01/2050 13:00,0.918,0.918,0.918,0.918
04/01/2050 14:00,0.906,0.906,0.906,0.906
04/01/2050 15:00,0.889,0.889,0.889,0.889
04/01/2050 16:00,0.855,0.855,0.855,0.855
04/01/2050 17:00,0.783,0.783,0.783,0.783
04/01/2050 18:00,0.75,0.75,0.75,0.75
04/01/2050 19:00,0.689,0.689,0.689,0.689
04/01/2050 20:00,0.668,0.668,0.668,0.668
04/01/2050 21:00,0.682,0.682,0.682,0.682
04/01/2050 22:00,0.631,0.631,0.631,0.631
04/01/2050 23:00,0.539,0.539,0.539,0.539
05/01/2050 00:00,0.498,0.498,0.498,0.498
05/01/2050 01:00,0.479,0.479,0.479,0.479
05/01/2050 02:00,0.467,0.467,0.467,0.467
05/01/2050 03:00,0.452,0.452,0.452,0.452
05/01/2050 04:00,0.435,0.435,0.435,0.435
05/01/2050 05:00,0.409,0.409,0.409,0.409
05/01/2050 06:00,0.383,0.383,0.383,0.383
05/01/2050 07:00,0.377,0.377,0.377,0.377
05/01/2050 08:00,0.348,0.348,0.348,0.348
05/01/2050 09:00,0.256,0.256,0.256,0.256
05/01/2050 10:00,0.198,0.198,0.198,0.198
05/01/2050 11:00,0.233,0.233,0.233,0.233
05/01/2050 12:00,0.231,0.231,0.231,0.231
05/01/2050 13:00,0.214,0.214,0.214,0.214
05/01/2050 14:00,0.216,0.216,0.216,0.216
05/01/2050 15:00,0.259,0.259,0.259,0.259
05/01/2050 16:00,0.281,0.281,0.281,0.281
05/01/2050 17:00,0.263,0.263,0.263,0.263
05/01/2050 18:00,0.231,0.231,0.231,0.231
05/01/2050 19:00,0.201,0.201,0.201,0.201
05/01/2050 20:00,0.174,0.174,0.174,0.174
05/01/2050 21:00,0.163,0.163,0.163,0.163
05/01/2050 22:00,0.172,0.172,0.172,0.172
05/01/2050 23:00,0.174,0.174,0.174,0.174
06/01/2050 00:00,0.168,0.168,0.168,0.168
06/01/2050 01:00,0.166,0.166,0.166,0.166
06/01/2050 02:00,0.149,0.149,0.149,0.149
06/01/2050 03:00,0.125,0.125,0.125,0.125
06/01/2050 04:00,0.108,0.108,0.108,0.108
06/01/2050 05:00,0.106,0.106,0.106,0.106
06/01/2050 06:00,0.105,0.105,0.105,0.105
06/01/2050 07:00,0.105,0.105,0.105,0.105
06/01/2050 08:00,0.117,0.117,0.117,0.117
06/01/2050 09:00,0.147,0.147,0.147,0.147
06/01/2050 10:00,0.165,0.165,0.165,0.165
06/01/2050 11:00,0.169,0.169,0.169,0.169
06/01/2050 12:00,0.173,0.173,0.173,0.173
06/01/2050 13:00,0.179,0.179,0.179,0.179
06/01/2050 14:00,0.193,0.193,0.193,0.193
06/01/2050 15:00,0.257,0.257,0.257,0.257
06/01/2050 16:00,0.326,0.326,0.326,0.326
06/01/2050 17:00,0.358,0.358,0.358,0.358
06/01/2050 18:00,0.361,0.361,0.361,0.361
06/01/2050 19:00,0.384,0.384,0.384,0.384
06/01/2050 20:00,0.402,0.402,0.402,0.402
06/01/2050 21:00,0.425,0.425,0.425,0.425
06/01/2050 22:00,0.441,0.441,0.441,0.441
06/01/2050 23:00,0.524,0.524,0.524,0.524
07/01/2050 00:00,0.501,0.501,0.501,0.501
07/01/2050 01:00,0.449,0.449,0.449,0.449
07/01/2050 02:00,0.445,0.445,0.445,0.445
