Timestamp [UTC],Base,PVminus10,Demandplus10,PVminus10AndDemandplus10
01/01/2050 00:00,0.216,0.216,0.216,0.216
01/01/2050 01:00,0.162,0.162,0.162,0.162
01/01/2050 02:00,0.097,0.097,0.097,0.097
01/01/2050 03:00,0.051,0.051,0.051,0.051
01/01/2050 04:00,0.033,0.033,0.033,0.033
01/01/2050 05:00,0.025,0.025,0.025,0.025
01/01/2050 06:00,0.018,0.018,0.018,0.018
01/01/2050 07:00,0.006,0.006,0.006,0.006
01/01/2050 08:00,0.005,0.005,0.005,0.005
01/01/2050 09:00,0.005,0.005,0.005,0.005
01/01/2050 10:00,0.005,0.005,0.005,0.005
01/01/2050 11:00,0.005,0.005,0.005,0.005
01/01/2050 12:00,0.006,0.006,0.006,0.006
01/01/2050 13:00,0.01,0.01,0.01,0.01
01/01/2050 14:00,0.013,0.013,0.013,0.013
01/01/2050 15:00,0.012,0.012,0.012,0.012
01/01/2050 16:00,0.015,0.015,0.015,0.015
01/01/2050 17:00,0.02,0.02,0.02,0.02
01/01/2050 18:00,0.049,0.049,0.049,0.049
01/01/2050 19:00,0.152,0.152,0.152,0.152
01/01/2050 20:00,0.28,0.28,0.28,0.28
01/01/2050 21:00,0.402,0.402,0.402,0.402
01/01/2050 22:00,0.51,0.51,0.51,0.51
01/01/2050 23:00,0.551,0.551,0.551,0.551
02/01/2050 00:00,0.556,0.556,0.556,0.556
02/01/2050 01:00,0.549,0.549,0.549,0.549
02/01/2050 02:00,0.524,0.524,0.524,0.524
02/01/2050 03:00,0.485,0.485,0.485,0.485
02/01/2050 04:00,0.454,0.454,0.454,0.454
02/01/2050 05:00,0.449,0.449,0.449,0.449
02/01/2050 06:00,0.448,0.448,0.448,0.448
02/01/2050 07:00,0.447,0.447,0.447,0.447
02/01/2050 08:00,0.454,0.454,0.454,0.454
02/01/2050 09:00,0.489,0.489,0.489,0.489
02/01/2050 10:00,0.548,0.548,0.548,0.548
02/01/2050 11:00,0.598,0.598,0.598,0.598
02/01/2050 12:00,0.632,0.632,0.632,0.632
02/01/2050 13:00,0.648,0.648,0.648,0.648
02/01/2050 14:00,0.65,0.65,0.65,0.65
02/01/2050 15:00,0.618,0.618,0.618,0.618
02/01/2050 16:00,0.563,0.563,0.563,0.563
02/01/2050 17:00,0.516,0.516,0.516,0.516
02/01/2050 18:00,0.475,0.475,0.475,0.475
02/01/2050 19:00,0.425,0.425,0.425,0.425
02/01/2050 20:00,0.367,0.367,0.367,0.367
02/01/2050 21:00,0.285,0.285,0.285,0.285
02/01/2050 22:00,0.202,0.202,0.202,0.202
02/01/2050 23:00,0.13,0.13,0.13,0.13
03/01/2050 00:00,0.062,0.062,0.062,0.062
03/01/2050 01:00,0.02,0.02,0.02,0.02
03/01/2050 02:00,0.005,0.005,0.005,0.005
03/01/2050 03:00,0.003,0.003,0.003,0.003
03/01/2050 04:00,0.003,0.003,0.003,0.003
03/01/2050 05:00,0.003,0.003,0.003,0.003
03/01/2050 06:00,0.005,0.005,0.005,0.005
03/01/2050 07:00,0.006,0.006,0.006,0.006
03/01/2050 08:00,0.021,0.021,0.021,0.021
03/01/2050 09:00,0.034,0.034,0.034,0.034
03/01/2050 10:00,0.044,0.044,0.044,0.044
03/01/2050 11:00,0.044,0.044,0.044,0.044
03/01/2050 12:00,0.034,0.034,0.034,0.034
03/01/2050 13:00,0.029,0.029,0.029,0.029
03/01/2050 14:00,0.035,0.035,0.035,0.035
03/01/2050 15:00,0.027,0.027,0.027,0.027
03/01/2050 16:00,0.019,0.019,0.019,0.019
03/01/2050 17:00,0.015,0.015,0.015,0.015
03/01/2050 18:00,0.011,0.011,0.011,0.011
03/01/2050 19:00,0.007,0.007,0.007,0.007
03/01/2050 20:00,0.006,0.006,0.006,0.006
03/01/2050 21:00,0.006,0.006,0.006,0.006
03/01/2050 22:00,0.006,0.006,0.006,0.006
03/01/2050 23:00,0.005,0.005,0.005,0.005
04/01/2050 00:00,0.005,0.005,0.005,0.005
04/01/2050 01:00,0.004,0.004,0.004,0.004
04/01/2050 02:00,0.006,0.006,0.006,0.006
04/01/2050 03:00,0.008,0.008,0.008,0.008
04/01/2050 04:00,0.013,0.013,0.013,0.013
04/01/2050 05:00,0.023,0.023,0.023,0.023
04/01/2050 06:00,0.041,0.041,0.041,0.041
04/01/2050 07:00,0.053,0.053,0.053,0.053
04/01/2050 08:00,0.107,0.107,0.107,0.107
04/01/2050 09:00,0.165,0.165,0.165,0.165
04/01/2050 10:00,0.212,0.212,0.212,0.212
04/01/2050 11:00,0.242,0.242,0.242,0.242
04/01/2050 12:00,0.241,0.241,0.241,0.241
04/01/2050 13:00,0.251,0.251,0.251,0.251
04/01/2050 14:00,0.289,0.289,0.289,0.289
04/01/2050 15:00,0.34,0.34,0.34,0.34
04/01/2050 16:00,0.377,0.377,0.377,0.377
04/01/2050 17:00,0.392,0.392,0.392,0.392
04/01/2050 18:00,0.412,0.412,0.412,0.412
04/01/2050 19:00,0.451,0.451,0.451,0.451
04/01/2050 20:00,0.494,0.494,0.494,0.494
04/01/2050 21:00,0.529,0.529,0.529,0.529
04/01/2050 22:00,0.574,0.574,0.574,0.574
04/01/2050 23:00,0.622,0.622,0.622,0.622
05/01/2050 00:00,0.671,0.671,0.671,0.671
05/01/2050 01:00,0.727,0.727,0.727,0.727
05/01/2050 02:00,0.816,0.816,0.816,0.816
05/01/2050 03:00,0.901,0.901,0.901,0.901
05/01/2050 04:00,0.944,0.944,0.944,0.944
05/01/2050 05:00,0.96,0.96,0.96,0.96
05/01/2050 06:00,0.965,0.965,0.965,0.965
05/01/2050 07:00,0.967,0.967,0.967,0.967
05/01/2050 08:00,0.972,0.972,0.972,0.972
05/01/2050 09:00,0.971,0.971,0.971,0.971
05/01/2050 10:00,0.962,0.962,0.962,0.962
05/01/2050 11:00,0.946,0.946,0.946,0.946
05/01/2050 12:00,0.924,0.924,0.924,0.924
05/01/2050 13:00,0.904,0.904,0.904,0.904
05/01/2050 14:00,0.897,0.897,0.897,0.897
05/01/2050 15:00,0.906,0.906,0.906,0.906
05/01/2050 16:00,0.916,0.916,0.916,0.916
05/01/2050 17:00,0.921,0.921,0.921,0.921
05/01/2050 18:00,0.928,0.928,0.928,0.928
05/01/2050 19:00,0.93,0.93,0.93,0.93
05/01/2050 20:00,0.924,0.924,0.924,0.924
05/01/2050 21:00,0.914,0.914,0.914,0.914
05/01/2050 22:00,0.905,0.905,0.905,0.905
05/01/2050 23:00,0.902,0.902,0.902,0.902
06/01/2050 00:00,0.909,0.909,0.909,0.909
06/01/2050 01:00,0.922,0.922,0.922,0.922
06/01/2050 02:00,0.935,0.935,0.935,0.935
06/01/2050 03:00,0.946,0.946,0.946,0.946
06/01/2050 04:00,0.956,0.956,0.956,0.956
06/01/2050 05:00,0.963,0.963,0.963,0.963
06/01/2050 06:00,0.968,0.968,0.968,0.968
06/01/2050 07:00,0.97,0.97,0.97,0.97
06/01/2050 08:00,0.972,0.972,0.972,0.972
06/01/2050 09:00,0.969,0.969,0.969,0.969
06/01/2050 10:00,0.963,0.963,0.963,0.963
06/01/2050 11:00,0.954,0.954,0.954,0.954
06/01/2050 12:00,0.946,0.946,0.946,0.946
06/01/2050 13:00,0.942,0.942,0.942,0.942
06/01/2050 14:00,0.947,0.947,0.947,0.947
06/01/2050 15:00,0.956,0.956,0.956,0.956
06/01/2050 16:00,0.967,0.967,0.967,0.967
06/01/2050 17:00,0.981,0.981,0.981,0.981
06/01/2050 18:00,0.99,0.99,0.99,0.99
06/01/2050 19:00,0.993,0.993,0.993,0.993
06/01/2050 20:00,0.984,0.984,0.984,0.984
06/01/2050 21:00,0.958,0.958,0.958,0.958
06/01/2050 22:00,0.923,0.923,0.923,0.923
06/01/2050 23:00,0.948,0.948,0.948,0.948
07/01/2050 00:00,0.989,0.989,0.989,0.989
07/01/2050 01:00,0.992,0.992,0.992,0.992
07/01/2050 02:00,0.99,0.99,0.99,0.99
07/01/2050 03:00,0.975,0.975,0.975,0.975
07/01/2050 04:00,0.953,0.953,0.953,0.953
07/01/2050 05:00,0.936,0.936,0.936,0.936
07/01/2050 06:00,0.915,0.915,0.915,0.915
07/01/2050 07:00,0.861,0.861,0.861,0.861
