Timestamp [UTC],Base,PVminus10,Demandplus10,PVminus10AndDemandplus10
01/01/2050 00:00,0.518,0.518,0.518,0.518
01/01/2050 01:00,0.504,0.504,0.504,0.504
01/01/2050 02:00,0.485,0.485,0.485,0.485
01/01/2050 03:00,0.439,0.439,0.439,0.439
01/01/2050 04:00,0.386,0.386,0.386,0.386
01/01/2050 05:00,0.354,0.354,0.354,0.354
01/01/2050 06:00,0.325,0.325,0.325,0.325
01/01/2050 07:00,0.305,0.305,0.305,0.305
01/01/2050 08:00,0.266,0.266,0.266,0.266
01/01/2050 09:00,0.26,0.26,0.26,0.26
01/01/2050 10:00,0.264,0.264,0.264,0.264
01/01/2050 11:00,0.266,0.266,0.266,0.266
01/01/2050 12:00,0.269,0.269,0.269,0.269
01/01/2050 13:00,0.271,0.271,0.271,0.271
01/01/2050 14:00,0.267,0.267,0.267,0.267
01/01/2050 15:00,0.262,0.262,0.262,0.262
01/01/2050 16:00,0.236,0.236,0.236,0.236
01/01/2050 17:00,0.212,0.212,0.212,0.212
01/01/2050 18:00,0.201,0.201,0.201,0.201
01/01/2050 19:00,0.214,0.214,0.214,0.214
01/01/2050 20:00,0.243,0.243,0.243,0.243
01/01/2050 21:00,0.288,0.288,0.288,0.288
01/01/2050 22:00,0.314,0.314,0.314,0.314
01/01/2050 23:00,0.317,0.317,0.317,0.317
02/01/2050 00:00,0.295,0.295,0.295,0.295
02/01/2050 01:00,0.269,0.269,0.269,0.269
02/01/2050 02:00,0.246,0.246,0.246,0.246
02/01/2050 03:00,0.236,0.236,0.236,0.236
02/01/2050 04:00,0.238,0.238,0.238,0.238
02/01/2050 05:00,0.245,0.245,0.245,0.245
02/01/2050 06:00,0.249,0.249,0.249,0.249
02/01/2050 07:00,0.231,0.231,0.231,0.231
02/01/2050 08:00,0.186,0.186,0.186,0.186
02/01/2050 09:00,0.141,0.141,0.141,0.141
02/01/2050 10:00,0.115,0.115,0.115,0.115
02/01/2050 11:00,0.11,0.11,0.11,0.11
02/01/2050 12:00,0.125,0.125,0.125,0.125
02/01/2050 13:00,0.151,0.151,0.151,0.151
02/01/2050 14:00,0.176,0.176,0.176,0.176
02/01/2050 15:00,0.207,0.207,0.207,0.207
02/01/2050 16:00,0.226,0.226,0.226,0.226
02/01/2050 17:00,0.228,0.228,0.228,0.228
02/01/2050 18:00,0.225,0.225,0.225,0.225
02/01/2050 19:00,0.221,0.221,0.221,0.221
02/01/2050 20:00,0.2,0.2,0.2,0.2
02/01/2050 21:00,0.177,0.177,0.177,0.177
02/01/2050 22:00,0.155,0.155,0.155,0.155
02/01/2050 23:00,0.142,0.142,0.142,0.142
03/01/2050 00:00,0.14,0.14,0.14,0.14
03/01/2050 01:00,0.146,0.146,0.146,0.146
03/01/2050 02:00,0.158,0.158,0.158,0.158
03/01/2050 03:00,0.173,0.173,0.173,0.173
03/01/2050 04:00,0.186,0.186,0.186,0.186
03/01/2050 05:00,0.193,0.193,0.193,0.193
03/01/2050 06:00,0.193,0.193,0.193,0.193
03/01/2050 07:00,0.185,0.185,0.185,0.185
03/01/2050 08:00,0.17,0.17,0.17,0.17
03/01/2050 09:00,0.15,0.15,0.15,0.15
03/01/2050 10:00,0.127,0.127,0.127,0.127
03/01/2050 11:00,0.107,0.107,0.107,0.107
03/01/2050 12:00,0.098,0.098,0.098,0.098
03/01/2050 13:00,0.103,0.103,0.103,0.103
03/01/2050 14:00,0.122,0.122,0.122,0.122
03/01/2050 15:00,0.148,0.148,0.148,0.148
03/01/2050 16:00,0.184,0.184,0.184,0.184
03/01/2050 17:00,0.231,0.231,0.231,0.231
03/01/2050 18:00,0.294,0.294,0.294,0.294
03/01/2050 19:00,0.373,0.373,0.373,0.373
03/01/2050 20:00,0.425,0.425,0.425,0.425
03/01/2050 21:00,0.457,0.457,0.457,0.457
03/01/2050 22:00,0.48,0.48,0.48,0.48
03/01/2050 23:00,0.494,0.494,0.494,0.494
04/01/2050 00:00,0.526,0.526,0.526,0.526
04/01/2050 01:00,0.587,0.587,0.587,0.587
04/01/2050 02:00,0.648,0.648,0.648,0.648
04/01/2050 03:00,0.701,0.701,0.701,0.701
04/01/2050 04:00,0.753,0.753,0.753,0.753
04/01/2050 05:00,0.801,0.801,0.801,0.801
04/01/2050 06:00,0.839,0.839,0.839,0.839
04/01/2050 07:00,0.862,0.862,0.862,0.862
04/01/2050 08:00,0.877,0.877,0.877,0.877
04/01/2050 09:00,0.89,0.89,0.89,0.89
04/01/2050 10:00,0.903,0.903,0.903,0.903
04/01/2050 11:00,0.91,0.91,0.91,0.91
04/01/2050 12:00,0.913,0.913,0.913,0.913
04/01/2050 13:00,0.919,0.919,0.919,0.919
04/01/2050 14:00,0.924,0.924,0.924,0.924
04/01/2050 15:00,0.925,0.925,0.925,0.925
04/01/2050 16:00,0.927,0.927,0.927,0.927
04/01/2050 17:00,0.927,0.927,0.927,0.927
04/01/2050 18:00,0.929,0.929,0.929,0.929
04/01/2050 19:00,0.928,0.928,0.928,0.928
04/01/2050 20:00,0.929,0.929,0.929,0.929
04/01/2050 21:00,0.934,0.934,0.934,0.934
04/01/2050 22:00,0.938,0.938,0.938,0.938
04/01/2050 23:00,0.943,0.943,0.943,0.943
05/01/2050 00:00,0.946,0.946,0.946,0.946
05/01/2050 01:00,0.947,0.947,0.947,0.947
05/01/2050 02:00,0.947,0.947,0.947,0.947
05/01/2050 03:00,0.945,0.945,0.945,0.945
05/01/2050 04:00,0.943,0.943,0.943,0.943
05/01/2050 05:00,0.938,0.938,0.938,0.938
05/01/2050 06:00,0.929,0.929,0.929,0.929
05/01/2050 07:00,0.921,0.921,0.921,0.921
05/01/2050 08:00,0.914,0.914,0.914,0.914
05/01/2050 09:00,0.906,0.906,0.906,0.906
05/01/2050 10:00,0.893,0.893,0.893,0.893
05/01/2050 11:00,0.886,0.886,0.886,0.886
05/01/2050 12:00,0.888,0.888,0.888,0.888
05/01/2050 13:00,0.888,0.888,0.888,0.888
05/01/2050 14:00,0.879,0.879,0.879,0.879
05/01/2050 15:00,0.856,0.856,0.856,0.856
05/01/2050 16:00,0.82,0.82,0.82,0.82
05/01/2050 17:00,0.778,0.778,0.778,0.778
05/01/2050 18:00,0.737,0.737,0.737,0.737
05/01/2050 19:00,0.695,0.695,0.695,0.695
05/01/2050 20:00,0.642,0.642,0.642,0.642
05/01/2050 21:00,0.59,0.59,0.59,0.59
05/01/2050 22:00,0.536,0.536,0.536,0.536
05/01/2050 23:00,0.481,0.481,0.481,0.481
06/01/2050 00:00,0.441,0.441,0.441,0.441
06/01/2050 01:00,0.412,0.412,0.412,0.412
06/01/2050 02:00,0.392,0.392,0.392,0.392
06/01/2050 03:00,0.375,0.375,0.375,0.375
06/01/2050 04:00,0.355,0.355,0.355,0.355
06/01/2050 05:00,0.324,0.324,0.324,0.324
06/01/2050 06:00,0.281,0.281,0.281,0.281
06/01/2050 07:00,0.22,0.22,0.22,0.22
06/01/2050 08:00,0.16,0.16,0.16,0.16
06/01/2050 09:00,0.113,0.113,0.113,0.113
06/01/2050 10:00,0.08,0.08,0.08,0.08
06/01/2050 11:00,0.06,0.06,0.06,0.06
06/01/2050 12:00,0.045,0.045,0.045,0.045
06/01/2050 13:00,0.032,0.032,0.032,0.032
06/01/2050 14:00,0.022,0.022,0.022,0.022
06/01/2050 15:00,0.022,0.022,0.022,0.022
06/01/2050 16:00,0.032,0.032,0.032,0.032
06/01/2050 17:00,0.059,0.059,0.059,0.059
06/01/2050 18:00,0.1,0.1,0.1,0.1
