Timestamp [UTC],Base,PVminus10,Demandplus10,PVminus10AndDemandplus10
01/01/2050 00:00,0.058092,0.058092,0.058092,0.058092
01/01/2050 01:00,0.057806,0.057806,0.057806,0.057806
01/01/2050 02:00,0.056509,0.056509,0.056509,0.056509
01/01/2050 03:00,0.056541,0.056541,0.056541,0.056541
01/01/2050 04:00,0.051368,0.051368,0.051368,0.051368
01/01/2050 05:00,0.041129,0.041129,0.041129,0.041129
01/01/2050 06:00,0.031298,0.031298,0.031298,0.031298
01/01/2050 07:00,0.025789,0.025789,0.025789,0.025789
01/01/2050 08:00,0.024553,0.024553,0.024553,0.024553
01/01/2050 09:00,0.024752,0.024752,0.024752,0.024752
01/01/2050 10:00,0.028628,0.028628,0.028628,0.028628
01/01/2050 11:00,0.040157,0.040157,0.040157,0.040157
01/01/2050 12:00,0.055437,0.055437,0.055437,0.055437
01/01/2050 13:00,0.068935,0.068935,0.068935,0.068935
01/01/2050 14:00,0.077027,0.077027,0.077027,0.077027
01/01/2050 15:00,0.079544,0.079544,0.079544,0.079544
01/01/2050 16:00,0.081088,0.081088,0.081088,0.081088
01/01/2050 17:00,0.082176,0.082176,0.082176,0.082176
01/01/2050 18:00,0.08163,0.08163,0.08163,0.08163
01/01/2050 19:00,0.083144,0.083144,0.083144,0.083144
01/01/2050 20:00,0.089186,0.089186,0.089186,0.089186
01/01/2050 21:00,0.099771,0.099771,0.099771,0.099771
01/01/2050 22:00,0.106062,0.106062,0.106062,0.106062
01/01/2050 23:00,0.115261,0.115261,0.115261,0.115261
02/01/2050 00:00,0.128637,0.128637,0.128637,0.128637
02/01/2050 01:00,0.14046,0.14046,0.14046,0.14046
02/01/2050 02:00,0.148295,0.148295,0.148295,0.148295
02/01/2050 03:00,0.151843,0.151843,0.151843,0.151843
02/01/2050 04:00,0.144564,0.144564,0.144564,0.144564
02/01/2050 05:00,0.139814,0.139814,0.139814,0.139814
02/01/2050 06:00,0.141427,0.141427,0.141427,0.141427
02/01/2050 07:00,0.146991,0.146991,0.146991,0.146991
02/01/2050 08:00,0.151934,0.151934,0.151934,0.151934
02/01/2050 09:00,0.156985,0.156985,0.156985,0.156985
02/01/2050 10:00,0.174219,0.174219,0.174219,0.174219
02/01/2050 11:00,0.186696,0.186696,0.186696,0.186696
02/01/2050 12:00,0.184275,0.184275,0.184275,0.184275
02/01/2050 13:00,0.170037,0.170037,0.170037,0.170037
02/01/2050 14:00,0.149729,0.149729,0.149729,0.149729
02/01/2050 15:00,0.129518,0.129518,0.129518,0.129518
02/01/2050 16:00,0.122092,0.122092,0.122092,0.122092
02/01/2050 17:00,0.123584,0.123584,0.123584,0.123584
