Timestamp [UTC],Base,PVminus10,Demandplus10,PVminus10AndDemandplus10
01/01/2050 00:00,0.566897,0.566897,0.566897,0.566897
01/01/2050 01:00,0.560471,0.560471,0.560471,0.560471
01/01/2050 02:00,0.557324,0.557324,0.557324,0.557324
01/01/2050 03:00,0.554472,0.554472,0.554472,0.554472
01/01/2050 04:00,0.553527,0.553527,0.553527,0.553527
01/01/2050 05:00,0.547751,0.547751,0.547751,0.547751
01/01/2050 06:00,0.541673,0.541673,0.541673,0.541673
01/01/2050 07:00,0.535527,0.535527,0.535527,0.535527
01/01/2050 08:00,0.531291,0.531291,0.531291,0.531291
01/01/2050 09:00,0.520331,0.520331,0.520331,0.520331
01/01/2050 10:00,0.512735,0.512735,0.512735,0.512735
01/01/2050 11:00,0.512476,0.512476,0.512476,0.512476
01/01/2050 12:00,0.513983,0.513983,0.513983,0.513983
01/01/2050 13:00,0.512168,0.512168,0.512168,0.512168
01/01/2050 14:00,0.505675,0.505675,0.505675,0.505675
01/01/2050 15:00,0.505449,0.505449,0.505449,0.505449
01/01/2050 16:00,0.498676,0.498676,0.498676,0.498676
01/01/2050 17:00,0.488791,0.488791,0.488791,0.488791
01/01/2050 18:00,0.469274,0.469274,0.469274,0.469274
01/01/2050 19:00,0.452304,0.452304,0.452304,0.452304
01/01/2050 20:00,0.426788,0.426788,0.426788,0.426788
01/01/2050 21:00,0.398083,0.398083,0.398083,0.398083
01/01/2050 22:00,0.365692,0.365692,0.365692,0.365692
01/01/2050 23:00,0.336649,0.336649,0.336649,0.336649
02/01/2050 00:00,0.311663,0.311663,0.311663,0.311663
02/01/2050 01:00,0.290767,0.290767,0.290767,0.290767
02/01/2050 02:00,0.276997,0.276997,0.276997,0.276997
02/01/2050 03:00,0.269824,0.269824,0.269824,0.269824
02/01/2050 04:00,0.26799,0.26799,0.26799,0.26799
02/01/2050 05:00,0.269632,0.269632,0.269632,0.269632
02/01/2050 06:00,0.274851,0.274851,0.274851,0.274851
02/01/2050 07:00,0.289917,0.289917,0.289917,0.289917
02/01/2050 08:00,0.309943,0.309943,0.309943,0.309943
02/01/2050 09:00,0.324959,0.324959,0.324959,0.324959
02/01/2050 10:00,0.327483,0.327483,0.327483,0.327483
02/01/2050 11:00,0.335891,0.335891,0.335891,0.335891
02/01/2050 12:00,0.348414,0.348414,0.348414,0.348414
02/01/2050 13:00,0.361493,0.361493,0.361493,0.361493
02/01/2050 14:00,0.381089,0.381089,0.381089,0.381089
02/01/2050 15:00,0.407644,0.407644,0.407644,0.407644
02/01/2050 16:00,0.433989,0.433989,0.433989,0.433989
02/01/2050 17:00,0.452947,0.452947,0.452947,0.452947
02/01/2050 18:00,0.473277,0.473277,0.473277,0.473277
02/01/2050 19:00,0.48621,0.48621,0.48621,0.48621
02/01/2050 20:00,0.490453,0.490453,0.490453,0.490453
02/01/2050 21:00,0.493381,0.493381,0.493381,0.493381
02/01/2050 22:00,0.502906,0.502906,0.502906,0.502906
02/01/2050 23:00,0.509327,0.509327,0.509327,0.509327
03/01/2050 00:00,0.510723,0.510723,0.510723,0.510723
03/01/2050 01:00,0.509256,0.509256,0.509256,0.509256
03/01/2050 02:00,0.511365,0.511365,0.511365,0.511365
03/01/2050 03:00,0.513408,0.513408,0.513408,0.513408
03/01/2050 04:00,0.511767,0.511767,0.511767,0.511767
03/01/2050 05:00,0.51547,0.51547,0.51547,0.51547
03/01/2050 06:00,0.534035,0.534035,0.534035,0.534035
03/01/2050 07:00,0.562504,0.562504,0.562504,0.562504
03/01/2050 08:00,0.58958,0.58958,0.58958,0.58958
03/01/2050 09:00,0.609557,0.609557,0.609557,0.609557
03/01/2050 10:00,0.636333,0.636333,0.636333,0.636333
03/01/2050 11:00,0.666795,0.666795,0.666795,0.666795
03/01/2050 12:00,0.697241,0.697241,0.697241,0.697241
03/01/2050 13:00,0.72994,0.72994,0.72994,0.72994
03/01/2050 14:00,0.759293,0.759293,0.759293,0.759293
03/01/2050 15:00,0.788604,0.788604,0.788604,0.788604
03/01/2050 16:00,0.806673,0.806673,0.806673,0.806673
03/01/2050 17:00,0.820004,0.820004,0.820004,0.820004
03/01/2050 18:00,0.828968,0.828968,0.828968,0.828968
03/01/2050 19:00,0.83564,0.83564,0.83564,0.83564
03/01/2050 20:00,0.837715,0.837715,0.837715,0.837715
03/01/2050 21:00,0.836576,0.836576,0.836576,0.836576
03/01/2050 22:00,0.828502,0.828502,0.828502,0.828502
03/01/2050 23:00,0.815301,0.815301,0.815301,0.815301
04/01/2050 00:00,0.800063,0.800063,0.800063,0.800063
04/01/2050 01:00,0.784995,0.784995,0.784995,0.784995
04/01/2050 02:00,0.768914,0.768914,0.768914,0.768914
04/01/2050 03:00,0.750244,0.750244,0.750244,0.750244
04/01/2050 04:00,0.743117,0.743117,0.743117,0.743117
04/01/2050 05:00,0.73552,0.73552,0.73552,0.73552
04/01/2050 06:00,0.714858,0.714858,0.714858,0.714858
04/01/2050 07:00,0.690721,0.690721,0.690721,0.690721
04/01/2050 08:00,0.663685,0.663685,0.663685,0.663685
04/01/2050 09:00,0.638429,0.638429,0.638429,0.638429
04/01/2050 10:00,0.601645,0.601645,0.601645,0.601645
04/01/2050 11:00,0.567893,0.567893,0.567893,0.567893
04/01/2050 12:00,0.533376,0.533376,0.533376,0.533376
04/01/2050 13:00,0.499088,0.499088,0.499088,0.499088
04/01/2050 14:00,0.464837,0.464837,0.464837,0.464837
04/01/2050 15:00,0.437528,0.437528,0.437528,0.437528
04/01/2050 16:00,0.416573,0.416573,0.416573,0.416573
04/01/2050 17:00,0.398787,0.398787,0.398787,0.398787
04/01/2050 18:00,0.385376,0.385376,0.385376,0.385376
04/01/2050 19:00,0.380584,0.380584,0.380584,0.380584
04/01/2050 20:00,0.375676,0.375676,0.375676,0.375676
04/01/2050 21:00,0.372139,0.372139,0.372139,0.372139
04/01/2050 22:00,0.357575,0.357575,0.357575,0.357575
04/01/2050 23:00,0.348516,0.348516,0.348516,0.348516
05/01/2050 00:00,0.344379,0.344379,0.344379,0.344379
05/01/2050 01:00,0.343798,0.343798,0.343798,0.343798
05/01/2050 02:00,0.34818,0.34818,0.34818,0.34818
05/01/2050 03:00,0.363768,0.363768,0.363768,0.363768
05/01/2050 04:00,0.373301,0.373301,0.373301,0.373301
05/01/2050 05:00,0.380165,0.380165,0.380165,0.380165
05/01/2050 06:00,0.385966,0.385966,0.385966,0.385966
05/01/2050 07:00,0.393989,0.393989,0.393989,0.393989
05/01/2050 08:00,0.391669,0.391669,0.391669,0.391669
05/01/2050 09:00,0.387063,0.387063,0.387063,0.387063
05/01/2050 10:00,0.382254,0.382254,0.382254,0.382254
05/01/2050 11:00,0.382622,0.382622,0.382622,0.382622
05/01/2050 12:00,0.382659,0.382659,0.382659,0.382659
05/01/2050 13:00,0.371317,0.371317,0.371317,0.371317
05/01/2050 14:00,0.355886,0.355886,0.355886,0.355886
05/01/2050 15:00,0.337074,0.337074,0.337074,0.337074
05/01/2050 16:00,0.316179,0.316179,0.316179,0.316179
05/01/2050 17:00,0.282277,0.282277,0.282277,0.282277
05/01/2050 18:00,0.238742,0.238742,0.238742,0.238742
05/01/2050 19:00,0.197761,0.197761,0.197761,0.197761
05/01/2050 20:00,0.164093,0.164093,0.164093,0.164093
05/01/2050 21:00,0.142969,0.142969,0.142969,0.142969
05/01/2050 22:00,0.125919,0.125919,0.125919,0.125919
05/01/2050 23:00,0.116146,0.116146,0.116146,0.116146
06/01/2050 00:00,0.116015,0.116015,0.116015,0.116015
06/01/2050 01:00,0.122138,0.122138,0.122138,0.122138
06/01/2050 02:00,0.130487,0.130487,0.130487,0.130487
06/01/2050 03:00,0.136848,0.136848,0.136848,0.136848
06/01/2050 04:00,0.139795,0.139795,0.139795,0.139795
06/01/2050 05:00,0.138381,0.138381,0.138381,0.138381
06/01/2050 06:00,0.133904,0.133904,0.133904,0.133904
06/01/2050 07:00,0.131349,0.131349,0.131349,0.131349
06/01/2050 08:00,0.127851,0.127851,0.127851,0.127851
06/01/2050 09:00,0.117611,0.117611,0.117611,0.117611
06/01/2050 10:00,0.107133,0.107133,0.107133,0.107133
06/01/2050 11:00,0.109263,0.109263,0.109263,0.109263
06/01/2050 12:00,0.122544,0.122544,0.122544,0.122544
06/01/2050 13:00,0.137252,0.137252,0.137252,0.137252
06/01/2050 14:00,0.148708,0.148708,0.148708,0.148708
06/01/2050 15:00,0.159393,0.159393,0.159393,0.159393
06/01/2050 16:00,0.175663,0.175663,0.175663,0.175663
06/01/2050 17:00,0.19173,0.19173,0.19173,0.19173
06/01/2050 18:00,0.200787,0.200787,0.200787,0.200787
06/01/2050 19:00,0.201471,0.201471,0.201471,0.201471
06/01/2050 20:00,0.197589,0.197589,0.197589,0.197589
06/01/2050 21:00,0.188571,0.188571,0.188571,0.188571
06/01/2050 22:00,0.172001,0.172001,0.172001,0.172001
06/01/2050 23:00,0.153116,0.153116,0.153116,0.153116
07/01/2050 00:00,0.14444,0.14444,0.14444,0.14444
07/01/2050 01:00,0.140227,0.140227,0.140227,0.140227
07/01/2050 02:00,0.136105,0.136105,0.136105,0.136105
07/01/2050 03:00,0.123466,0.123466,0.123466,0.123466
07/01/2050 04:00,0.099667,0.099667,0.099667,0.099667
07/01/2050 05:00,0.081226,0.081226,0.081226,0.081226
07/01/2050 06:00,0.068288,0.068288,0.068288,0.068288
07/01/2050 07:00,0.05819,0.05819,0.05819,0.05819
07/01/2050 08:00,0.052293,0.052293,0.052293,0.052293
07/01/2050 09:00,0.050123,0.050123,0.050123,0.050123
07/01/2050 10:00,0.046503,0.046503,0.046503,0.046503
07/01/2050 11:00,0.040848,0.040848,0.040848,0.040848
07/01/2050 12:00,0.035501,0.035501,0.035501,0.035501
07/01/2050 13:00,0.032333,0.032333,0.032333,0.032333
07/01/2050 14:00,0.030634,0.030634,0.030634,0.030634
07/01/2050 15:00,0.031047,0.031047,0.031047,0.031047
07/01/2050 16:00,0.040551,0.040551,0.040551,0.040551
07/01/2050 17:00,0.05704,0.05704,0.05704,0.05704
