Timestamp [UTC],Base,PVminus10,Demandplus10,PVminus10AndDemandplus10
01/01/2050 00:00,0.588213,0.588213,0.588213,0.588213
01/01/2050 01:00,0.557316,0.557316,0.557316,0.557316
01/01/2050 02:00,0.526203,0.526203,0.526203,0.526203
01/01/2050 03:00,0.499932,0.499932,0.499932,0.499932
01/01/2050 04:00,0.469808,0.469808,0.469808,0.469808
01/01/2050 05:00,0.448581,0.448581,0.448581,0.448581
01/01/2050 06:00,0.427641,0.427641,0.427641,0.427641
01/01/2050 07:00,0.416536,0.416536,0.416536,0.416536
01/01/2050 08:00,0.399559,0.399559,0.399559,0.399559
01/01/2050 09:00,0.378036,0.378036,0.378036,0.378036
01/01/2050 10:00,0.348376,0.348376,0.348376,0.348376
01/01/2050 11:00,0.329493,0.329493,0.329493,0.329493
01/01/2050 12:00,0.323495,0.323495,0.323495,0.323495
01/01/2050 13:00,0.319787,0.319787,0.319787,0.319787
01/01/2050 14:00,0.305512,0.305512,0.305512,0.305512
01/01/2050 15:00,0.277656,0.277656,0.277656,0.277656
01/01/2050 16:00,0.255361,0.255361,0.255361,0.255361
01/01/2050 17:00,0.247103,0.247103,0.247103,0.247103
01/01/2050 18:00,0.244068,0.244068,0.244068,0.244068
01/01/2050 19:00,0.247582,0.247582,0.247582,0.247582
01/01/2050 20:00,0.250252,0.250252,0.250252,0.250252
01/01/2050 21:00,0.248031,0.248031,0.248031,0.248031
01/01/2050 22:00,0.250558,0.250558,0.250558,0.250558
01/01/2050 23:00,0.249565,0.249565,0.249565,0.249565
02/01/2050 00:00,0.241302,0.241302,0.241302,0.241302
02/01/2050 01:00,0.232926,0.232926,0.232926,0.232926
02/01/2050 02:00,0.222467,0.222467,0.222467,0.222467
02/01/2050 03:00,0.206415,0.206415,0.206415,0.206415
02/01/2050 04:00,0.188983,0.188983,0.188983,0.188983
02/01/2050 05:00,0.176216,0.176216,0.176216,0.176216
02/01/2050 06:00,0.163806,0.163806,0.163806,0.163806
02/01/2050 07:00,0.151676,0.151676,0.151676,0.151676
02/01/2050 08:00,0.143021,0.143021,0.143021,0.143021
02/01/2050 09:00,0.138853,0.138853,0.138853,0.138853
02/01/2050 10:00,0.129283,0.129283,0.129283,0.129283
02/01/2050 11:00,0.121667,0.121667,0.121667,0.121667
02/01/2050 12:00,0.128933,0.128933,0.128933,0.128933
02/01/2050 13:00,0.13987,0.13987,0.13987,0.13987
02/01/2050 14:00,0.146377,0.146377,0.146377,0.146377
02/01/2050 15:00,0.148601,0.148601,0.148601,0.148601
02/01/2050 16:00,0.160658,0.160658,0.160658,0.160658
02/01/2050 17:00,0.184583,0.184583,0.184583,0.184583
02/01/2050 18:00,0.203621,0.203621,0.203621,0.203621
02/01/2050 19:00,0.214443,0.214443,0.214443,0.214443
02/01/2050 20:00,0.220279,0.220279,0.220279,0.220279
02/01/2050 21:00,0.223644,0.223644,0.223644,0.223644
02/01/2050 22:00,0.228105,0.228105,0.228105,0.228105
02/01/2050 23:00,0.232862,0.232862,0.232862,0.232862
03/01/2050 00:00,0.236211,0.236211,0.236211,0.236211
03/01/2050 01:00,0.235521,0.235521,0.235521,0.235521
03/01/2050 02:00,0.230565,0.230565,0.230565,0.230565
03/01/2050 03:00,0.223646,0.223646,0.223646,0.223646
03/01/2050 04:00,0.209022,0.209022,0.209022,0.209022
03/01/2050 05:00,0.196876,0.196876,0.196876,0.196876
03/01/2050 06:00,0.18822,0.18822,0.18822,0.18822
03/01/2050 07:00,0.183002,0.183002,0.183002,0.183002
03/01/2050 08:00,0.181531,0.181531,0.181531,0.181531
03/01/2050 09:00,0.180163,0.180163,0.180163,0.180163
03/01/2050 10:00,0.171224,0.171224,0.171224,0.171224
03/01/2050 11:00,0.159643,0.159643,0.159643,0.159643
03/01/2050 12:00,0.150027,0.150027,0.150027,0.150027
03/01/2050 13:00,0.142813,0.142813,0.142813,0.142813
03/01/2050 14:00,0.136524,0.136524,0.136524,0.136524
03/01/2050 15:00,0.131414,0.131414,0.131414,0.131414
03/01/2050 16:00,0.135678,0.135678,0.135678,0.135678
03/01/2050 17:00,0.144223,0.144223,0.144223,0.144223
