Name,Zone,InvestedCapacity
Solar|PV|Rooftop|Commercial,Harad,0
Solar|PV|Rooftop|Commercial,RoGonDor,0
Solar|PV|Utility|Average,DolAmroth,0
Solar|PV|Utility|Average,Harad,0
Solar|PV|Utility|Average,RoGonDor,0
Solar|PV|Utility|Inf,DolAmroth,0
Solar|PV|Utility|Inf,Harad,0
Solar|PV|Utility|Inf,RoGonDor,0
Solar|PV|Utility|Opt,DolAmroth,0
Solar|PV|Utility|Opt,Harad,0
Solar|PV|Utility|Opt,RoGonDor,0
Wind|Onshore|Avg,DolAmroth,0
Wind|Onshore|Avg,Harad,0
Wind|Onshore|Avg,RoGonDor,0
Wind|Onshore|Opt,DolAmroth,0
Wind|Onshore|Opt,RoGonDor,0
Wind|Offshore|Deep,RoGonDor,0
Wind|Offshore|Shallow,RoGonDor,0
Wind|Offshore|Transitional,RoGonDor,0
Hydro|Run of River,DolAmroth,0
Hydro|Run of River,Harad,0
Hydro|Run of River,RoGonDor,0
