Name,Zone,InvestedCapacity
Electricity|Biomass|w/o CCS,DolAmroth,0
Electricity|Biomass|w/o CCS,Harad,0
Electricity|Biomass|w/o CCS,RoGonDor,0
Electricity|Coal|Hard coal|w/o CCS,DolAmroth,0
Electricity|Coal|Hard coal|w/o CCS,Harad,0
Electricity|Coal|Hard coal|w/o CCS,RoGonDor,0
Electricity|Coal|Lignite|w/o CCS,RoGonDor,0
Electricity|Gas|CCGT|w/o CCS,DolAmroth,0
Electricity|Gas|CCGT|w/o CCS,Harad,0
Electricity|Gas|CCGT|w/o CCS,RoGonDor,0
Electricity|Gas|OCGT|w/o CCS,Harad,0
Electricity|Gas|OCGT|w/o CCS,RoGonDor,0
Electricity|Nuclear,DolAmroth,0
Electricity|Nuclear,Harad,0
Electricity|Nuclear,RoGonDor,0
Electricity|Oil|w/o CCS,Harad,0
Electricity|Oil|w/o CCS,RoGonDor,0
