Timestep,a_0,a_1,a_2,b
0,0,0,0,31204058648.670890808
0,-3.0002915307045427973,-4.1494520979545930217,-3.0002915307045419091,31364654856.298130035
0,-0.048509080553257054313,-4.1589572605663018834,-3.000218647728406296,31343567314.614807129
0,0,0,0,32632027779.251716614
1,0,0,0,31063128064.241615295
1,-3.0010523995650255635,-4.1505043919923849671,-3.0010523995650246754,31237979089.438869476
1,-0.048509080553257054313,-4.1589572605663018834,-3.000218647728406296,31220177255.60616684
1,0,0,0,32485975782.254142761
2,0,0,0,30895736091.165260315
2,-8.0020031799310409326,-11.066900847134370167,-8.0020031799310391563,31332727912.71415329
2,-0.12934812090481326297,-11.089744444590612815,-7.9999999992000025983,31298404707.304660797
2,0,0,0,32314020667.070995331
3,0,0,0,29676379260.466827393
3,-81.853935892735549373,-113.20532772900050134,-81.853935892735549373,32775177589.407165527
3,-1.3203998064448019267,-113.20532772900048712,-81.664877515116842233,32625365787.525260925
3,0,0,0,31054963009.642498016
4,0,0,0,27693091153.885051727
4,-81.853935892735549373,-113.20532772900050134,-81.853935892735549373,29830043579.349700928
4,-1.3203998064448019267,-113.20532772900050134,-81.664877515116828022,29847324216.100643158
4,0,0,0,29028501555.136558533
5,0,0,0,24088993734.684764862
5,-10000,-10000,-10000,60372928258.921722412
5,-81.759406703926188698,-5056.7047204909404172,-5056.7047204909404172,59516051885.301216125
5,0,0,0,25367346955.94783783
6,0,0,0,20182357762.106719971
6,-10000,-10000,-10000,88393560751.278289795
6,-81.759406703926188698,-5056.7047204909404172,-5056.7047204909404172,68492399517.925674438
6,0,0,0,21418575498.931785583
7,0,0,0,13926706907.361383438
7,-5041.0214971351770146,-5056.6026638644998457,-97.537159248498625175,17880077301.182800293
7,-81.853935892735549373,-5056.6026638644998457,-81.853935892735549373,17806600941.887123108
7,0,0,0,14274426143.876449585
8,0,0,0,9799812322.9104919434
8,-81.664877515116828022,-113.20532772900050134,-81.664877515116828022,11447218507.995056152
8,-81.664877515116828022,-113.20532772900050134,-81.664877515116828022,11447218541.590999603
8,0,0,0,10053299180.730190277
9,0,0,0,7794018296.4724941254
9,-8.000718201576207278,-8.000718201576207278,-8.000718201576207278,8055954549.5667695999
9,-8.0006526278657172924,-8.0006526278657172924,-8.0006526278657172924,8055954536.1567077637
9,0,0,0,7971267650.9799432755
10,0,0,0,7548108050.020986557
10,-6.1144865246108182077,-8.0006630387442694285,-6.1144865246108182077,7664880356.337808609
10,-6.1144865246108182077,-8.0005870541552273068,-6.1144865246108182077,7664880350.1614017487
10,0,0,0,7715588879.4390277863
11,0,0,0,7358893432.316576004
11,-3.0072008335421731573,-8.0001519683780841774,-3.0016675024732366595,7395264249.8219842911
11,-3.0036911783322914893,-5.0519530716224130273,-3.0009977373329230765,7393585778.0699005127
11,0,0,0,7518110995.3149433136
12,0,0,0,7181400504.0353469849
12,-3.0072008335421731573,-7.9999999992000017102,-3.0002550892164743246,7202388244.298368454
12,-1.5181493002128989556,-2.1044859712223389359,-1.5181493002128989556,7196448105.627790451
12,0,0,0,7333601951.1178779602
13,0,0,0,6993889162.712723732
13,-3.0073104110981154768,-4.1591593239612487665,-3.0003644136806775222,7018616443.0946712494
13,0,-4.159058292263775769,-3.0002915307045419091,7005793303.3639087677
13,0,0,0,7140898909.0553388596
14,0,0,0,6850620748.3685493469
14,-81.853935892735549373,-113.20532772900050134,-81.664877515116828022,7893054570.5941867828
14,0,-113.20532772900051555,-81.664877515116856443,7639518744.8452482224
14,0,0,0,6992521213.9650115967
15,0,0,0,6683305191.4271602631
15,-81.853935892735549373,-113.20532772900050134,-81.664877515116828022,9052336795.4779853821
15,0,-113.20532772900051555,-81.664877515116856443,8636658824.1316146851
15,0,0,0,6820657037.2364749908
16,0,0,0,5550506662.0380191803
16,-81.853935892735549373,-113.20532772900050134,-81.664877515116828022,8247604397.2556838989
16,0,-113.20532772900048712,-81.664877515116842233,7808017719.4294185638
16,0,0,0,5649841843.6645994186
17,0,0,0,3575775321.7143068314
17,-81.853935892735549373,-113.20532772900050134,-81.664877515116828022,5422292866.912607193
17,0,-113.20532772900050134,-81.664877515116828022,5158957437.6315097809
17,0,0,0,3631402913.638133049
18,0,0,0,0
