Timestep,a_0,a_1,a_2,b
0,0,0,0,77959736594.57232666
0,-0.02342371785344392332,-0.02342371785344392332,-0.011844682464095783112,77960531951.765258789
0,-0.66571506232249622048,-81.517915973028550525,-0.66571506232249622048,78640363212.266723633
1,0,0,0,77748784017.782974243
1,-0.031231623804591896604,-0.031231623804591896604,-0.015792909952127710815,77749913811.957977295
1,-0.66571506232249622048,-81.517915973028550525,-0.66571506232249622048,78629119388.721557617
2,0,0,0,77483513222.554244995
2,-10.808250464232576959,-10.808250464232576959,-5.4654131142733284321,77846757291.996612549
2,-10000,-10000,-81.664877515116828022,293525301023.59875488
3,0,0,0,75634157348.52911377
3,-5066.0386550982093468,-5066.0386550982093468,-2561.7461581424695396,194362064278.38241577
3,-10000,-10000,-81.664877515116828022,308066813782.80200195
4,0,0,0,72939985409.349639893
4,-10000,-10000,-5056.7047204909404172,290294548048.38439941
4,-10000,-10000,-81.664877515116828022,288224725443.52911377
5,0,0,0,68548988139.080810547
5,-10000,-10000,-5056.7047204909404172,256305303050.87060547
5,-10000,-10000,-81.664877515116828022,243147544071.55856323
6,0,0,0,62685345046.971794128
6,-10000,-10000,-5056.7047204909404172,232796411538.52032471
6,-10000,-10000,-81.664877515116828022,208618041115.15060425
7,0,0,0,31535604147.426895142
7,-10000,-10000,-81.664877515116828022,116326944814.98851013
7,-10000,-7528.3013319322499228,-81.664877515116813811,109193655698.3441925
8,0,0,0,13128584830.091207504
8,-10000,-7528.3013319322499228,-81.664877515116828022,36238798629.626617432
8,-5041.0214971351770146,-5056.6026638644998457,-3.8678608735017401266,29315663996.935447693
9,0,0,0,10645899624.235992432
9,-8.0044577617570809025,-81.517915973028550525,-8.000718201576207278,11148209855.155736923
9,-8.0027354444054825677,-81.517915973028550525,-3.8678608735017401266,11122679684.040302277
10,0,0,0,10329562144.330345154
10,-8.0044577617570809025,-81.517915973028550525,-3.919471961206574484,10517235006.257152557
10,-4.2981477297880772426,-81.517915973028550525,-3.8163061869714125507,10516533269.067951202
11,0,0,0,10084421653.606389999
11,-4.4590621288992133842,-79.530916771185985681,-3.0004372966568126913,10109950925.70565033
11,-1.518214840247331443,-61.139592538764119922,-1.518214840247331443,10106711243.391391754
12,0,0,0,9752769011.1538410187
12,-0.018039976348695741654,-0.0045099940871739354134,-0.018039976348695741654,9752833960.0673313141
12,-0.018039976348695741654,-0.0046222359708312718563,-0.018039976348695741654,9752837505.5800857544
13,0,0,0,9303458462.725725174
13,-0.0090199881743478708268,-0.0090199881743478708268,-0.0090199881743478708268,9303481246.5754070282
13,-2.9573286720219411627,-0.033478536151861373882,-0.024150988377261494583,9304256350.1511230469
14,0,0,0,9075753016.0241260529
14,-24.393695544239228923,-24.393695544239228923,-0.19921081587613476138,9108468676.1051254272
14,-10000,-113.20532772900050134,-81.664877515116828022,28444370611.850166321
15,0,0,0,8813086211.9070205688
15,-10000,-10000,-81.664877515116828022,36194615637.116271973
15,-10000,-113.20532772900050134,-81.664877515116828022,49727076051.302536011
16,0,0,0,7065909974.2132339478
16,-10000,-10000,-81.664877515116828022,63243172513.126464844
16,-10000,-113.20532772900050134,-81.664877515116828022,51230988167.010139465
17,0,0,0,4384767679.3887233734
17,-10000,-10000,-81.664877515116828022,45257058286.75667572
17,-10000,0,-81.664877515116828022,26877282395.57975769
18,0,0,0,0
